Order,praatword,distance,surprisal
485,stairs,16,10.019481
486,how,9,6.868405
487,brave,11,10.275640
488,they,11,4.449478
489,'ll,13,5.323631
490,all,12,8.032361
491,think,15,4.838346
492,me,14,7.026752
493,at,15,4.904538
494,home,15,3.323464
495,why,9,7.268887
496,i,11,5.386766
497,would,12,3.968435
498,n't,13,1.603436
499,say,13,2.744878
500,anything,13,3.772642
501,about,14,2.099666
502,it,15,1.807301
503,even,16,6.290450
504,if,13,0.696519
505,i,9,1.463686
506,fell,17,6.828370
507,off,17,3.733225
508,the,11,2.317520
509,top,17,5.063273
510,of,18,1.496940
511,the,11,0.531332
512,house,19,5.249268
513,which,9,8.470255
514,was,10,2.924305
515,very,12,5.549848
516,likely,14,5.602404
517,true,14,9.450957
518,down,9,10.087864
519,down,11,5.653337
520,down,12,6.650736
521,would,9,8.511680
522,the,8,2.339727
523,fall,10,8.953142
524,never,11,7.120050
525,come,11,3.601828
526,to,11,2.652037
527,an,13,4.025465
528,end,13,0.659995
529,i,9,3.761499
530,wonder,11,6.945232
531,how,11,2.142985
532,many,13,2.587406
533,miles,14,5.598057
534,i,13,2.920109
535,'ve,15,3.140618
536,fallen,14,7.426090
537,by,15,4.928553
538,this,16,4.885888
539,time,17,2.261913
540,she,9,5.040805
541,said,10,2.014366
542,aloud,12,12.220226
543,i,9,3.761499
544,must,11,6.255516
545,be,11,2.144361
546,getting,12,6.305073
547,somewhere,13,8.302754
548,near,14,7.288923
549,the,9,1.006785
550,centre,16,7.635819
551,of,16,1.064272
552,the,10,0.719231
553,earth,18,6.217790
554,let,9,7.689343
555,me,9,2.215075
556,see,13,3.135789
557,that,13,2.355506
558,would,14,9.245582
559,be,15,1.170157
560,four,16,9.026809
561,thousand,17,7.618905
562,miles,18,4.899372
563,down,17,5.750188
564,i,18,7.922711
565,think,20,2.565732
566,for,20,4.800373
567,you,18,3.591870
568,see,19,6.053706
569,alice,20,11.593232
570,had,22,10.433681
571,learnt,23,11.625314
572,several,23,7.324243
573,things,24,3.780588
574,of,24,3.831397
575,this,23,4.212704
576,sort,26,4.667977
577,in,21,3.809114
578,her,26,3.696429
579,lessons,28,9.866643
580,in,21,3.235082
581,the,7,1.555551
583,room,5,3.404971
584,and,28,3.946321
585,though,27,11.846511
586,this,27,4.341145
587,was,31,2.940234
588,not,19,2.363246
589,a,8,1.656609
590,very,30,4.266004
591,good,33,2.345182
592,opportunity,33,4.583867
593,for,26,2.596848
594,showing,33,9.727725
595,off,35,5.174466
596,her,35,4.572793
597,knowledge,36,7.698631
598,as,15,5.159034
599,there,36,6.042908
600,was,38,1.223931
601,no,23,2.012936
602,one,25,3.397197
603,to,16,2.538098
604,listen,42,5.667191
605,to,15,0.597801
606,her,40,4.889700
607,still,45,8.669383
608,it,18,2.965204
609,was,19,1.170415
610,good,19,4.924668
611,practice,12,10.080850
612,to,12,3.503454
613,say,14,3.140659
614,it,14,3.064524
615,over,16,7.052992
616,yes,16,9.975125
617,that,11,5.433061
