Order,praatword,distance,surprisal
403,saw,11,3.149163
404,maps,12,13.086734
405,and,12,1.089213
406,pictures,9,3.663911
407,hung,13,6.790355
409,on,13,3.772865
410,pegs,14,6.944473
411,she,9,2.399769
412,took,10,4.743203
413,down,11,4.438849
414,a,6,2.028398
415,jar,12,6.658993
416,from,12,4.150298
417,one,6,4.089169
418,of,14,0.781837
419,the,6,0.404489
420,shelves,16,5.505436
421,as,13,5.074412
422,she,13,1.279894
423,passed,14,3.639667
424,it,14,2.792211
425,was,15,5.470332
426,labelled,15,9.676393
427,orange,12,10.411114
428,marmalade,15,6.972850
429,but,14,3.973110
430,to,13,5.000422
431,her,11,2.181831
432,great,15,3.827938
433,disappointment,15,3.975265
434,it,15,2.461012
435,was,14,0.790992
436,empty,14,6.151437
437,she,12,5.312944
438,did,15,3.261196
439,not,15,0.352686
440,like,15,3.596584
441,to,15,1.241954
442,drop,18,6.788488
443,the,10,2.304925
444,jar,20,7.013732
445,for,16,4.274500
446,fear,20,5.553822
447,of,21,1.345549
448,killing,19,7.772869
449,somebody,21,6.073923
451,so,14,5.191901
453,managed,22,10.926020
454,to,14,0.421990
455,put,24,4.117476
456,it,14,1.695282
457,into,26,2.379344
458,one,14,4.378543
459,of,17,0.980812
460,the,7,0.731583
461,cupboards,19,7.676619
462,as,15,4.248740
463,she,13,1.256191
464,fell,22,6.221555
465,past,22,9.525474
466,it,19,2.832879
467,well,9,5.071018
468,thought,9,10.089826
469,alice,11,10.354042
470,to,12,5.214142
471,herself,13,2.485029
472,after,13,6.006412
473,such,12,5.732457
474,a,7,0.498971
475,fall,13,8.334345
476,as,11,1.892232
477,this,14,3.860765
478,i,15,6.245200
479,shall,15,4.328638
480,think,15,4.421442
481,nothing,16,5.687204
482,of,13,1.104869
483,tumbling,15,14.497415
484,down,15,2.799974
485,stairs,16,5.416806
486,how,9,5.420931
487,brave,11,8.126043
488,they,12,3.415179
489,'ll,15,5.649812
490,all,14,4.839053
491,think,15,5.402850
492,me,16,3.779579
493,at,17,5.817348
494,home,16,2.021856
495,why,9,5.253760
496,i,8,2.898290
497,would,11,4.438450
498,n't,11,0.679304
499,say,11,3.850006
500,anything,12,2.128346
501,about,13,1.606316
502,it,10,1.069948
503,even,15,6.239942
504,if,12,0.534510
505,i,7,0.754332
506,fell,15,7.517860
507,off,15,4.232124
508,the,12,3.137584
509,top,16,4.957362
510,of,16,0.576852
511,the,7,0.764332
512,house,18,4.733045
513,which,9,7.881302
514,was,11,1.713691
515,very,12,4.706849
516,likely,13,4.640181
517,true,13,6.556786
518,down,9,8.409601
519,down,10,5.295510
520,down,12,6.239169
521,would,9,6.753387
522,the,6,3.604515
523,fall,10,9.451098
524,never,12,4.646608
525,come,13,2.793951
526,to,12,1.880881
527,an,14,3.357396
528,end,15,0.236160
529,i,9,2.456313
530,wonder,11,4.554997
531,how,11,2.651207
532,many,13,3.531293
533,miles,14,5.198240
534,i,10,2.463671
535,'ve,14,2.559375
536,fallen,15,7.175610
537,by,15,5.981474
538,this,16,4.684928
539,time,17,1.279689
540,she,9,2.399769
541,said,10,4.444458
542,aloud,11,6.731635
543,i,9,2.456313
544,must,11,4.313137
545,be,11,2.760056
546,getting,12,4.653091
547,somewhere,13,7.084565
548,near,14,6.709068
549,the,10,1.337320
550,centre,16,8.578025
551,of,16,0.659276
552,the,7,0.424608
553,earth,18,4.439790
554,let,9,6.427422
555,me,9,1.356273
556,see,12,2.181309
557,that,10,3.497038
558,would,14,7.034869
559,be,14,0.930295
560,four,15,8.951809
561,thousand,13,2.566568
562,miles,14,4.298003
563,down,13,4.871615
564,i,11,5.427169
565,think,15,3.037046
566,for,15,6.027521
567,you,11,2.755736
568,see,14,4.255272
569,alice,15,10.566482
570,had,16,3.788089
571,learnt,18,8.007367
572,several,19,7.148327
573,things,20,0.794420
574,of,20,3.645928
575,this,20,3.540510
576,sort,22,0.965406
577,in,21,3.651236
578,her,15,1.793679
579,lessons,24,7.020950
580,in,21,3.249227
581,the,7,1.265199
583,room,23,6.472456
584,and,15,1.795230
585,though,16,5.407953
586,this,9,5.287159
587,was,10,1.467582
588,not,15,2.419092
589,a,6,2.290068
590,very,8,2.659480
591,good,9,2.366857
592,opportunity,20,6.440427
593,for,15,1.703577
594,showing,20,6.291863
595,off,22,4.171029
596,her,13,2.520587
597,knowledge,23,6.939865
598,as,11,4.917295
599,there,17,5.689629
600,was,26,0.729845
601,no,9,1.969112
602,one,14,2.624341
603,to,11,1.361986
604,listen,24,5.787801
605,to,13,0.397522
606,her,17,2.221194
607,still,27,8.945072
608,it,18,2.581345
609,was,18,0.752901
610,good,19,6.247829
611,practice,19,9.954087
612,to,15,1.383471
613,say,22,4.195796
614,it,19,2.936665
615,over,24,5.071693
616,yes,24,8.681438
617,that,10,4.219004
618,'s,19,1.551831
619,about,12,6.675777
620,the,8,1.891802
621,right,13,5.180346
622,distance,13,10.749980
623,but,11,4.373420
624,then,9,4.501981
625,i,8,1.499811
626,wonder,12,6.429779
627,what,12,1.820569
628,latitude,13,13.782736
629,or,13,8.234734
630,longitude,13,17.601373
631,i,10,3.459583
632,'ve,14,3.700155
633,got,15,1.460067
634,to,13,1.828008
635,alice,9,8.441504
636,had,10,2.586184
637,no,7,3.489502
640,idea,12,2.514731
641,what,12,2.402570
642,latitude,14,13.467311
643,was,14,2.928172
644,or,15,6.564458
645,longitude,15,18.161147
646,either,15,7.861603
647,but,14,5.993919
649,thought,16,8.007092
650,they,17,5.904700
651,were,15,1.382608
652,nice,15,8.512073
653,grand,16,11.492026
654,words,17,6.747342
655,to,14,3.167672
656,say,19,5.706085
657,presently,9,7.159005
658,she,10,1.430486
659,began,10,3.957050
660,again,13,4.106575
661,i,9,2.456313
662,wonder,11,4.554997
663,if,11,0.862466
664,i,8,1.835271
665,shall,14,1.935834
666,fall,14,6.596776
667,right,15,5.448042
668,through,17,4.676882
669,the,11,2.180245
670,earth,17,7.030338
671,how,9,5.420931
672,funny,10,5.280993
673,it,11,2.124314
674,'ll,15,6.342550
675,seem,15,4.521050
676,to,14,1.534834
677,come,18,5.261576
678,out,19,3.623852
679,among,20,7.237696
680,the,6,0.667403
681,people,21,4.990064
682,that,13,3.253862
683,walk,20,6.835478
684,with,24,3.854074
685,their,25,3.913074
686,heads,26,3.116550
687,downward,26,10.026492
688,the,7,2.878170
689,antipathies,8,4.469607
690,i,10,5.727990
691,think,11,3.374834
692,she,12,3.364239
693,was,14,2.925500
694,rather,14,5.498069
695,glad,15,4.421982
696,there,15,6.178379
697,was,18,0.428819
698,no,12,2.374429
699,one,16,2.625417
700,listening,19,8.136760
701,this,20,6.711563
702,time,21,1.253417
703,as,15,4.550749
704,it,16,3.571944
705,did,23,3.295812
706,n't,23,4.048765
707,sound,23,3.993737
708,at,18,3.980161
709,all,10,0.519612
710,the,11,4.782663
711,right,25,4.043652
712,word,25,4.069001
713,but,18,4.357435
714,i,15,5.551989
715,shall,25,5.550610
716,have,25,3.597061
717,to,15,0.505573
718,ask,25,4.405705
719,them,26,3.879117
720,what,14,3.378819
721,the,10,3.574805
722,name,18,5.528578
723,of,18,1.033831
724,the,7,1.195234
725,country,20,5.286629
726,is,20,1.150829
727,you,16,4.510434
728,know,21,2.321183
729,please,9,7.635305
730,ma'am,11,7.692709
731,is,11,6.305824
732,this,9,4.661551
733,new,12,6.363612
734,zealand,12,9.417607
735,or,12,6.987549
736,australia,12,12.802666
737,and,7,3.336832
738,she,10,2.576207
739,tried,11,5.305580
740,to,11,0.267177
741,curtsey,13,11.312614
742,as,11,5.177168
743,she,11,1.151555
744,spoke,17,3.989402
745,fancy,17,13.723266
746,curtseying,18,15.522048
747,as,12,3.758730
748,you,9,7.029073
749,'re,21,3.703601
750,falling,21,9.275220
751,through,16,5.183982
752,the,8,1.276050
753,air,18,4.703669
754,do,9,5.099632
755,you,6,0.754373
756,think,12,1.580526
757,you,10,1.899807
758,could,15,3.073642
759,manage,16,4.548715
760,it,13,1.909346
761,and,7,3.336832
762,what,10,4.571651
763,an,12,5.499025
764,ignorant,13,7.120834
765,little,14,3.670083
766,girl,14,1.946829
767,she,11,1.641533
768,'ll,14,6.647436
769,think,14,5.186244
770,me,15,4.129342
771,for,16,5.468816
772,asking,16,8.957445
773,no,8,5.172858
774,it,11,3.380368
775,'ll,12,5.306721
776,never,11,3.588184
777,do,12,1.986172
778,to,12,2.615376
779,ask,15,5.163318
780,perhaps,16,9.509656
781,i,9,1.973182
782,shall,11,2.700890
783,see,11,4.012625
784,it,10,2.764600
785,written,13,9.682666
786,up,14,4.539915
787,somewhere,15,6.403629
788,down,9,8.409601
789,down,10,5.295510
790,down,12,6.239169
791,there,9,4.022244
792,was,11,0.864548
793,nothing,9,2.858356
794,else,12,3.017235
795,to,13,1.378187
796,do,15,1.806502
797,so,14,5.386098
798,alice,17,8.983754
799,soon,16,7.018662
800,began,12,3.319500
801,talking,12,5.426760
802,again,14,4.454921
803,dinah,9,12.869591
804,'ll,10,9.628884
805,miss,11,6.381342
806,me,12,2.322410
807,very,13,5.055247
808,much,14,0.605780
809,to-night,13,7.367306
810,i,9,4.017744
811,should,13,4.366246
812,think,13,2.278799
813,dinah,9,12.869591
814,was,10,2.910484
815,the,7,4.616309
816,cat,12,7.911822
817,i,9,2.456313
818,hope,11,4.382079
819,they,11,3.433138
820,'ll,14,1.918735
821,remember,14,6.496122
822,her,15,3.920564
823,saucer,16,15.467510
824,of,16,3.491254
825,milk,17,2.924486
826,at,18,4.705760
828,time,12,4.500449
829,dinah,9,12.869591
830,my,10,8.305234
831,dear,11,1.803581
832,i,9,2.456313
833,wish,11,4.246784
834,you,7,1.238219
835,were,14,2.160872
836,down,14,6.754739
837,here,15,2.125920
838,with,15,4.185017
839,me,16,1.329768
840,there,9,4.022244
841,are,11,2.909901
842,no,7,2.665120
843,mice,12,7.172942
844,in,12,2.073827
845,the,7,0.635266
846,air,14,5.436427
847,i,12,4.467957
848,'m,14,2.627076
849,afraid,17,2.071468
850,but,16,4.222300
851,you,9,2.999615
852,might,12,4.859379
853,catch,12,6.475157
854,a,6,2.554865
855,bat,14,9.565524
856,and,12,2.011206
857,that,9,4.990060
858,'s,14,1.017636
859,very,12,5.287811
860,like,13,7.092222
861,a,10,3.472412
862,mouse,15,6.232755
863,you,13,5.318920
864,know,18,2.274811
865,but,7,3.262550
866,do,10,5.912229
867,cats,11,14.877699
868,eat,11,6.563117
869,bats,13,10.959444
870,i,10,7.053057
871,wonder,13,5.134159
872,and,7,3.336832
873,here,10,5.245316
874,alice,12,10.716708
875,began,12,5.407282
876,to,12,0.644816
877,get,14,4.222353
878,rather,15,5.343039
879,sleepy,15,4.962949
880,and,15,2.227453
881,went,14,4.370537
882,on,14,2.107213
883,saying,12,5.487724
884,to,12,2.330256
885,herself,16,0.783288
886,in,16,3.719418
887,a,6,1.165755
888,dreamy,16,7.153104
889,sort,16,3.608334
890,of,16,0.064773
891,way,17,0.639907
892,do,18,7.575328
893,cats,16,15.468899
894,eat,17,10.503117
895,bats,16,12.187706
896,do,9,5.099632
897,cats,11,15.145715
898,eat,12,5.720843
899,bats,11,12.152222
900,and,7,3.336832
901,sometimes,10,6.547593
902,do,10,6.276027
903,bats,12,15.275676
904,eat,12,9.030053
905,cats,13,8.882430
906,for,9,4.941723
907,you,10,4.587144
908,see,12,3.842242
909,as,12,5.105931
910,she,9,2.829460
911,could,14,5.290538
912,n't,14,1.991253
913,answer,14,5.361241
914,either,15,6.642702
915,question,15,5.325622
916,it,14,2.985456
917,did,17,3.934930
918,n't,17,1.424267
919,much,17,6.340406
920,matter,13,0.668557
921,which,13,5.871142
922,way,15,2.837588
923,she,12,1.318821
924,put,16,5.327394
925,it,13,1.242856
926,she,9,2.399769
927,felt,10,3.828336
928,that,9,1.723244
929,she,12,1.070257
930,was,14,1.303208
931,dozing,14,9.451411
932,off,15,5.078830
933,and,16,2.765536
934,had,15,8.508490
935,just,10,8.028217
936,begun,12,3.962435
937,to,11,0.318308
938,dream,15,5.770024
939,that,12,2.003570
940,she,13,1.144577
941,was,18,1.239332
942,walking,18,6.355053
943,hand,19,10.436244
944,in,18,2.621518
945,hand,21,1.467637
946,with,22,2.946377
947,dinah,23,14.449496
949,was,17,1.935590
950,saying,20,11.559046
951,to,18,2.515809
952,her,16,1.853498
953,very,24,6.728722
954,earnestly,24,3.769345
955,now,20,6.346971
956,dinah,23,16.804951
957,tell,22,6.963586
958,me,22,1.086079
959,the,9,3.337224
960,truth,23,1.314998
961,did,23,8.083582
962,you,6,1.308993
963,ever,20,1.959474
964,eat,20,6.484438
965,a,7,2.201275
966,bat,21,9.894205
967,when,9,4.717968
968,suddenly,10,6.679996
969,thump,12,13.848133
970,thump,9,14.849570
971,down,9,8.409601
972,she,10,4.749343
973,came,10,4.225036
974,upon,13,4.580857
975,a,7,2.471616
976,heap,13,7.217771
977,of,13,0.225091
978,sticks,14,6.990023
979,and,15,1.322152
980,dry,9,9.303818
981,leaves,16,3.503823
982,and,15,1.053985
983,the,7,3.254990
984,fall,16,8.877593
985,was,16,2.025539
986,over,9,5.375180
