praatword,parsedword,lstm256Surprisal,k_10distance,k_10surprisal,k_10entropy,k_10Hdelta,k_20distance,k_20surprisal,k_20entropy,k_20Hdelta,k_40distance,k_40surprisal,k_40entropy,k_40Hdelta,k_60distance,k_60surprisal,k_60entropy,k_60Hdelta,k_80distance,k_80surprisal,k_80entropy,k_80Hdelta,k_100distance,k_100surprisal,k_100entropy,k_100Hdelta
distance,distance,13.3851261139,32,9.779058,1.104749,-0.46855,33,9.799816,1.50057,-0.518427,33,9.793245,2.318818,-0.46699,33,9.80424,2.636796,-0.50016,19,9.794989,2.73171,-0.513995,19,9.796196,2.877197,-0.510701
but,but,3.00783824921,32,7.479002,3.680858,2.57611,26,7.353075,4.330439,2.82987,28,7.731439,5.006974,2.68816,27,7.665488,5.437501,2.80071,19,5.539277,3.317907,0.586197,19,5.491417,3.503693,0.626496
then,then,3.98934388161,18,4.858033,2.625245,-1.05561,18,4.824329,3.226581,-1.10386,16,5.108748,3.879796,-1.12718,15,5.07162,4.267789,-1.16971,9,4.152745,3.940431,0.622524,9,4.146378,4.149533,0.64584
i,i,3.52596998215,12,2.416215,2.050663,-0.574582,12,2.379917,2.66675,-0.559831,12,2.295014,3.326453,-0.553343,12,2.324542,3.713121,-0.554668,9,2.356052,3.629194,-0.311237,9,2.363797,3.831001,-0.318532
wonder,wonder,4.55607414246,21,5.029423,1.70141,-0.349253,21,5.000795,2.307724,-0.359026,29,4.902646,3.014132,-0.312321,29,4.908027,3.390493,-0.322628,10,4.886323,3.443005,-0.186189,10,4.888049,3.643528,-0.187473
what,what,2.75640296936,18,1.684858,2.226797,0.525387,17,1.647206,2.826836,0.519112,17,1.617698,3.531666,0.517534,16,1.612924,3.908044,0.517551,12,1.683725,3.956217,0.513212,12,1.682783,4.15019,0.506662
latitude,UNK,5.41915750504,11,5.699141,2.806902,0.580105,11,5.708825,3.435727,0.608891,12,5.736801,4.144569,0.612903,12,5.729757,4.544852,0.636808,8,5.588286,4.561485,0.605268,8,5.581491,4.767838,0.617648
or,or,5.41674375534,24,6.759642,2.513091,-0.293811,24,6.755171,3.018368,-0.417359,32,6.933236,3.779015,-0.365554,32,6.855873,4.15662,-0.388232,15,6.459854,4.135912,-0.425573,15,6.463877,4.372308,-0.39553
longitude,UNK,3.20685005188,6,3.727698,2.663449,0.150358,6,3.729253,3.331998,0.31363,6,3.592529,3.925949,0.146934,6,3.625608,4.445424,0.288804,6,3.571548,4.564963,0.429051,6,3.60336,4.774236,0.401928
i,i,2.80485010147,17,5.433286,3.293711,0.630262,16,4.969669,3.544598,0.2126,16,5.364817,4.629157,0.703208,16,5.266005,4.925117,0.479693,11,4.543137,4.165737,-0.399226,11,4.573281,4.338878,-0.435358
've,'ve,3.30977773666,23,3.04935,2.173151,-1.12056,24,3.108201,2.691845,-0.852753,29,3.110507,3.611215,-1.01794,29,3.125081,3.912191,-1.01293,17,3.061265,3.454177,-0.71156,17,3.065068,3.606003,-0.732875
got,got,3.00742316246,24,3.233763,2.234407,0.061256,24,3.272787,2.792091,0.100246,30,3.242058,3.673342,0.062127,30,3.253952,3.995889,0.083698,18,3.147711,3.347082,-0.107095,18,3.152024,3.494916,-0.111087
to,to,1.24915504456,18,2.479346,2.84376,0.609353,19,2.435251,3.417904,0.625813,18,2.51543,4.26591,0.592568,19,2.491489,4.605918,0.610029,16,2.295443,3.919295,0.572213,16,2.291024,4.069997,0.575081
alice,alice,3.13590335846,9,3.259502,0.944836,-1.89892,9,3.253403,0.969026,-2.44888,9,3.250418,0.984433,-3.28148,9,3.249266,0.988766,-3.61715,9,3.248716,0.990605,-2.92869,9,3.248418,0.992231,-3.07777
had,had,3.60839295387,11,3.525358,1.366997,0.422161,11,3.522584,1.423111,0.454085,11,3.52258,1.439932,0.455499,11,3.522498,1.450069,0.461303,11,3.522333,1.456639,0.466034,12,3.52223,1.458995,0.466764
no,no,4.40813446045,8,4.233434,2.346981,0.979984,8,4.158183,2.457338,1.03423,9,4.127418,2.553161,1.11323,9,4.118207,2.585042,1.13497,9,4.113229,2.602496,1.14586,9,4.110148,2.612431,1.15344
the,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
slightest,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
idea,idea,5.20319366455,12,4.583994,1.550207,-0.796774,12,4.63119,1.702278,-0.75506,13,4.632117,1.87474,-0.678421,13,4.635787,1.918548,-0.666494,13,4.637905,1.944242,-0.658254,13,4.638758,1.964479,-0.647952
