AUDIOTEXT,Trigger,segment,tmin,Order,tmax,cfg.bu,islexical,wordlength,logfreq
her,1,1,36.768436,113,37.137701,11,,0.3232,0
There,1,1,38.468572,114,38.678328,2,0,0.1637,14.09
was,1,1,38.632328,115,38.84981,1,0,0.1715,14.56
nothing,1,1,38.80381,116,39.220966,2,1,0.3712,11.99
so,1,1,39.174966,117,39.514477,1,0,0.2935,14.05
very,1,1,39.468477,118,40.09498,1,1,0.5805,13.28
remarkable,1,1,40.04898,119,40.819225,2,1,0.7242,8.36
in,1,1,40.773225,120,40.980966,1,0,0.1618,14.5
that,1,1,40.934966,121,41.352123,6,0,0.3711,15.48
nor,1,1,41.820953,122,42.088964,1,0,0.222,10.91
did,1,1,42.042964,123,42.250082,1,0,0.1611,12.85
Alice,1,1,42.204082,124,42.657157,2,1,0.4071,8.65
think,1,1,42.611157,125,42.848721,1,1,0.1915,13.39
it,1,1,42.802721,126,42.946757,2,0,0.0981,15.37
so,1,1,42.900757,127,43.179433,1,0,0.2326,14.05
very,1,1,43.133433,128,43.519198,2,1,0.3398,13.28
much,1,1,43.473198,129,43.830524,1,1,0.3113,13.09
out,1,1,43.784524,130,44.000431,2,0,0.1699,13.9
of,1,1,43.954431,131,44.105864,1,0,0.1055,16.21
the,1,1,44.059864,132,44.201647,1,0,0.0958,16.96
way,1,1,44.155647,133,44.512939,1,1,0.3113,13.1
to,1,1,44.466939,134,44.678655,1,0,0.1657,16.35
hear,1,1,44.632655,135,44.848177,1,1,0.1695,11.41
the,1,1,44.802177,136,44.955932,1,0,0.1077,16.96
Rabbit,1,1,44.909932,137,45.304174,2,1,0.3483,8.66
say,1,1,45.258174,138,45.542599,1,1,0.2384,12.79
to,1,1,45.496599,139,45.735575,1,0,0.193,16.35
itself,1,1,45.689575,140,46.296885,15,0,0.5613,11.24
Oh,1,1,46.805793,141,46.981658,2,0,0.1299,11.64
dear,1,1,46.935658,142,47.362463,5,1,0.3808,10.29
Oh,1,1,47.651701,143,47.817429,2,0,0.1197,11.64
dear,1,1,47.771429,144,48.152667,4,1,0.3353,10.29
I,1,1,48.307503,145,48.418361,2,0,0.0649,15.79
shall,1,1,48.372361,146,48.619606,1,0,0.2012,11
be,1,1,48.573606,147,48.764395,1,0,0.1448,14.95
,99,,,148,,,1,0,12.87
late,1,1,48.718395,149,49.158381,6,1,0.394,10.92
when,1,1,50.06082,150,50.226945,2,0,0.1202,13.76
she,1,1,50.180945,151,50.407373,2,0,0.1804,13.1
thought,1,1,50.361373,152,50.648707,1,1,0.2413,12.07
it,1,1,50.602707,153,50.770997,2,0,0.1223,15.37
over,1,1,50.724997,154,51.097973,2,0,0.327,13.02
afterwards,1,1,51.051973,155,51.768449,5,1,0.6705,8.92
it,1,1,51.722449,156,51.864232,2,0,0.0957,15.37
occurred,1,1,51.818232,157,52.259334,1,1,0.3951,9.388
to,1,1,52.213334,158,52.379062,1,0,0.1198,16.35
her,1,1,52.333062,159,52.599259,3,0,0.2202,13.3
that,1,1,52.553259,160,52.774164,1,0,0.1749,15.48
she,1,1,52.92836,161,53.196214,2,0,0.2218,13.1
ought,1,1,53.150214,162,53.432667,1,0,0.2365,9.63
to,1,1,53.386667,163,53.603126,1,0,0.1704,16.35
have,1,1,53.557126,164,53.839742,1,0,0.2367,14.92
wondered,1,1,53.793742,165,54.17498,1,1,0.3352,9.12
at,1,1,54.12898,166,54.414436,1,0,0.2395,14.5
