AUDIOTEXT,Trigger,segment,tmin,Order,tmax,cfg.bu,islexical,wordlength,logfreq
disappointment,1,3,25.04467379,433,25.750531,3,1,0.7372,7.72
it,1,3,25.78191679,434,25.873246,2,0,0.1227,15.37
was,1,3,25.90463179,435,26.073796,1,0,0.2006,14.56
empty,1,3,26.10518179,436,26.56468,6,1,0.4909,9.87
she,1,3,27.24259679,437,27.390803,2,0,0.1796,13.1
did,1,3,27.42218879,438,27.546449,1,0,0.1556,12.85
not,1,3,27.57783479,439,27.738178,1,0,0.1918,14.77
like,1,3,27.76956379,440,27.905633,1,1,0.1674,13.87
to,1,3,27.93701879,441,28.001415,1,0,0.0958,16.35
drop,1,3,28.03280079,442,28.32468,1,1,0.3233,10.76
the,1,3,28.35606579,443,28.420463,1,0,0.0957,16.96
jar,1,3,28.45184879,444,28.671891,2,1,0.2515,7.99
for,1,3,28.70327679,445,28.83951,1,0,0.1676,15.42
fear,1,3,28.87089579,446,29.13883,2,1,0.2993,10.45
of,1,3,29.17021579,447,29.210667,1,0,0.0719,16.21
killing,1,3,29.24205279,448,29.581823,1,1,0.3711,10.06
somebody,1,3,29.61320879,449,30.16849,11,0,0.5867,10.42
,99,,,450,,,1,0,8.56
so,1,3,30.41538579,451,30.548365,1,0,0.1644,14.05
she,1,3,30.57975079,452,30.719238,2,,0.1708,13.1
managed,1,3,30.75062379,453,31.174204,1,1,0.455,10.01
to,1,3,31.20558979,454,31.258014,1,0,0.0838,16.35
put,1,3,31.28939979,455,31.45053,1,1,0.1925,12.32
it,1,3,31.48191579,456,31.574984,2,0,0.1245,15.37
into,1,3,31.60636979,457,31.916517,1,0,0.3415,13.24
one,1,3,31.94790279,458,32.081058,2,1,0.1645,14.17
of,1,3,32.11244379,459,32.179918,1,0,0.0989,16.21
the,1,3,32.21130379,460,32.270445,1,0,0.0905,16.96
cupboards,1,3,32.30183079,461,32.778558,6,1,0.5081,4.96
as,1,3,32.80994379,462,32.862367,1,0,0.0839,14.79
she,1,3,32.89375279,463,33.065905,2,0,0.2035,13.1
fell,1,3,33.09729079,464,33.281415,1,1,0.2155,9.73
past,1,3,33.31280079,465,33.712152,1,0,0.4307,11.4
it,1,3,33.74353779,466,33.856109,13,0,0.144,15.37
Well,1,3,35.74327679,467,36.286585,2,1,0.5747,13.22
thought,1,3,36.53985379,468,36.666068,2,1,0.1576,12.07
Alice,1,3,36.69745379,469,37.088762,1,1,0.4226,8.65
to,1,3,37.12014779,470,37.221244,1,0,0.1325,16.35
herself,1,3,37.25262979,471,37.735293,3,0,0.5141,9.88
after,1,3,37.91008579,472,38.221762,1,1,0.343,12.93
such,1,3,38.25314779,473,38.493398,1,1,0.2717,12.82
a,1,3,38.52478379,474,38.549442,2,0,0.056,16.18
fall,1,3,38.58082779,475,38.82307,1,1,0.2737,10.74
as,1,3,38.85445579,476,39.028354,1,0,0.2052,14.79
this,1,3,39.05973979,477,39.313313,1,0,0.285,14.99
I,1,3,39.34469879,478,39.375565,2,0,0.0622,15.79
shall,1,3,39.40695079,479,39.579102,1,0,0.2036,11
think,1,3,39.61048779,480,39.794612,1,1,0.2155,13.39
nothing,1,3,39.88586179,481,40.441143,2,1,0.5866,11.99
of,1,3,40.47252879,482,40.524952,1,0,0.0838,16.21
tumbling,1,3,40.55633779,483,40.991891,1,1,0.467,6.31
down,1,3,41.02327679,484,41.24332,2,0,0.2514,12.59
stairs,1,3,41.27470579,485,42.009578,16,1,0.7663,8.63
How,1,3,42.67552179,486,42.973611,1,0,0.3295,13.52
brave,1,3,43.00499679,487,43.470259,3,1,0.4966,8.62
they,1,3,43.52558979,488,43.631851,2,0,0.1376,14.3
ll,1,3,43.66323679,489,43.736447,1,0,0.1046,14.35
all,1,3,43.76783279,490,43.925225,1,0,0.1888,14.35
think,1,3,43.95661079,491,44.224544,1,1,0.2993,13.39
me,1,3,44.25592979,492,44.344272,2,0,0.1198,14.08
at,1,3,44.37565779,493,44.482822,1,0,0.1385,14.5
home,1,3,44.51420779,494,44.835156,7,1,0.3523,12.16
Why,1,3,45.42502979,495,45.695204,2,0,0.3016,12.8
I,1,3,45.72658979,496,45.781007,2,0,0.0858,15.79
would,1,3,45.81239279,497,45.970963,1,0,0.1899,14.06
nt,1,3,46.00234879,498,46.080327,1,0,0.1094,14.77
say,1,3,46.11171279,499,46.295837,1,0,0.2155,12.79
anything,1,3,46.32722279,500,46.781647,2,0,0.4858,12.28
about,1,3,46.81303279,501,47.07236,1,0,0.2907,14.08
it,1,3,47.10374579,502,47.217376,3,0,0.1451,15.37
even,1,3,47.24876179,503,47.495505,1,0,0.2781,13.1
if,1,3,47.52689079,504,47.648762,1,0,0.1532,14.65
I,1,3,47.68014779,505,47.792435,2,0,0.1437,15.79
fell,1,3,47.82382079,506,48.044867,1,1,0.2525,9.73
off,1,3,48.07625279,507,48.223456,2,0,0.1785,12.65
the,1,3,48.25484179,508,48.334901,1,0,0.1115,16.96
top,1,3,48.36628679,509,48.630531,2,1,0.2956,11.67
of,1,3,48.66191679,510,48.71434,1,0,0.0838,16.21
the,1,3,48.74572579,511,48.837728,1,0,0.1234,16.96
house,1,3,48.86911379,512,49.41563,2,1,0.5779,11.55
Which,1,3,50.01484179,513,50.211737,2,0,0.2283,13.8
was,1,3,50.24312279,514,50.390531,1,0,0.1788,14.56
very,1,3,50.42191679,515,50.652878,1,1,0.2624,13.28
likely,1,3,50.68426379,516,51.05536,1,1,0.4024,11.18
TRUE,1,3,51.08674579,517,51.432163,2,1,0.3768,0
Down,1,3,52.75661079,518,53.730939,1,0,1.0057,12.59
down,1,3,53.76232479,519,54.604952,2,0,0.874,12.59
down,1,3,54.89973979,520,55.462511,19,0,0.5942,12.59
Would,1,3,55.98926379,521,56.058408,1,0,0.1005,14.06
the,1,3,56.08979379,522,56.125505,1,0,0.0671,16.96
fall,1,3,56.15689079,523,56.400871,2,1,0.2754,10.74
never,1,3,56.43225679,524,56.977888,2,1,0.577,12.62
come,1,3,57.00927379,525,57.250939,1,1,0.273,12.35
to,1,3,57.28232479,526,57.420111,1,0,0.1692,16.35
an,1,3,57.45149679,527,57.565128,1,0,0.145,14.27
end,1,3,57.59651379,528,57.897469,6,1,0.3324,12.33
I,1,3,58.81484179,529,58.959574,2,0,0.1762,15.79
wonder,1,3,58.99095979,530,59.394068,1,0,0.4345,10.86
how,1,3,59.42545379,531,59.687501,1,0,0.2934,13.52
many,1,3,59.71888679,532,59.908898,2,1,0.2214,13.07
miles,1,3,59.94028379,533,60.424371,2,1,0.5155,10.48
I,1,3,60.45575679,534,60.535163,2,0,0.1107,15.79
ve,1,3,60.56654879,535,60.615293,1,0,0.0802,14.92
fallen,1,3,60.64667879,536,61.022367,1,1,0.4071,9.87
by,1,3,61.05375279,537,61.237878,1,0,0.2155,14.4
this,1,3,61.26926379,538,61.560008,1,0,0.3221,14.99
time,1,3,61.59139379,539,61.965839,9,1,0.4058,13.58
she,1,3,62.07143979,540,62.231619,2,0,0.1916,13.1
said,1,3,62.26300479,541,62.506993,1,1,0.2754,12.77
aloud,1,3,62.53837879,542,62.949986,5,1,0.443,7.15
,99,,,543,,2,0,0,15.79
must,1,4,0.398385787,544,0.720282,1,0,0.3533,12.63
be,1,4,0.689427631,545,0.871792,1,0,0.1515,14.95
getting,1,4,0.840937631,546,1.157204,1,1,0.2854,11.99
somewhere,1,4,1.126349631,547,1.573746,2,0,0.4165,10.71
near,1,4,1.542891631,548,1.803734,1,0,0.23,11.27
the,1,4,1.772879631,549,1.875571,1,0,0.0719,16.96
center,1,4,1.844716631,550,2.282646,2,1,0.407,11.38
of,1,4,2.251791631,551,2.378428,1,0,0.0958,16.21
the,1,4,2.347573631,552,2.516052,1,0,0.1376,16.96
earth,1,4,2.485197631,553,2.77353,10,1,0.2575,11.03
Let,1,4,3.125805631,554,3.384143,1,1,0.2275,13.87
me,1,4,3.353288631,555,3.50387,2,0,0.1198,14.08
see,1,4,3.473015631,556,3.839109,1,1,0.3352,13.27
that,1,4,3.808254631,557,4.021689,1,0,0.1826,15.48
would,1,4,3.990834631,558,4.186319,1,0,0.1646,14.06
be,1,4,4.155464631,559,4.66304,1,0,0.4767,14.95
four,1,4,4.632185631,560,5.108224,1,1,0.4452,11.35
thousand,1,4,5.077369631,561,5.491353,2,1,0.3831,9.7
miles,1,4,5.460498631,562,5.934347,2,1,0.443,10.48
down,1,4,5.903492631,563,6.29353,10,0,0.3592,12.59
I,1,4,6.262675631,564,6.37734,2,0,0.0838,15.79
think,1,4,6.346485631,565,6.796387,4,1,0.4191,13.39
for,1,4,7.172607631,566,7.284138,1,0,0.0807,15.42
you,1,4,7.253283631,567,7.419414,2,0,0.1353,15.43
see,1,4,7.388559631,568,7.730265,4,1,0.3108,13.27
Alice,1,4,7.699410631,569,8.125367,2,1,0.3952,8.65
had,1,4,8.094512631,570,8.281013,1,0,0.1556,13.53
learnt,1,4,8.250158631,571,8.496523,1,1,0.2155,8.86
several,1,4,8.465668631,572,8.891626,1,1,0.3951,12.05
things,1,4,8.860771631,573,9.250809,2,1,0.3592,12.48
of,1,4,9.219954631,574,9.370537,1,0,0.1197,16.21
this,1,4,9.339682631,575,9.59802,1,0,0.2275,14.99
sort,1,4,9.567165631,576,9.825503,2,1,0.2275,11.28
in,1,4,9.794648631,577,9.957204,1,0,0.1317,15.9
her,1,4,9.926349631,578,10.11285,1,0,0.1556,13.3
lessons,1,4,10.08199563,579,10.541302,6,1,0.4285,12.24
in,1,4,10.51044763,580,10.639653,1,0,0.0983,15.9
the,1,4,10.60879863,581,10.759381,1,0,0.1198,16.96
school,1,4,10.72852663,582,11.144672,6,1,0.6465,11.69
room,1,4,11.11381763,583,11.405911,,1,0,11.35
and,1,4,11.74621363,584,11.98543,1,0,0.2083,16.19
though,1,4,11.95457563,585,12.094734,1,0,0.1093,12.2
this,1,4,12.06387963,586,12.315843,2,0,0.2211,14.99
was,1,4,12.28498863,587,12.471489,1,0,0.1557,14.56
not,1,4,12.44063463,588,12.67548,1,0,0.204,14.77
a,1,4,12.64462563,589,12.782782,1,0,0.1073,16.18
very,1,4,12.75192763,590,13.273666,1,1,0.4909,13.28
good,1,4,13.24281163,591,13.504104,2,1,0.2304,13.35
opportunity,1,4,13.47324963,592,14.267408,2,1,0.7633,10.93
for,1,4,14.23655363,593,14.447,1,0,0.1796,15.42
showing,1,4,14.41614563,594,14.887853,1,1,0.4408,10.12
off,1,4,14.85699863,595,15.057612,2,0,0.1698,12.65
her,1,4,15.11056663,596,15.225231,1,0,0.0838,13.3
knowledge,1,4,15.19437663,597,15.787952,2,1,0.5627,11.34
as,1,4,15.75709763,598,15.967544,1,0,0.1796,14.79
there,1,4,15.93668963,599,16.12319,2,0,0.1557,14.09
was,1,4,16.09233563,600,16.302782,1,0,0.1796,14.56
no,1,4,16.27192763,601,16.470401,1,0,0.1676,13.96
one,1,4,16.43954663,602,16.614075,1,0,0.1437,14.17
to,1,4,16.58322063,603,16.803322,1,0,0.1892,16.35
listen,1,4,16.77246763,604,17.116932,1,1,0.3136,10.43
to,1,4,17.08607763,605,17.320621,1,0,0.2037,16.35
her,1,4,17.28976663,606,17.595843,18,0,0.2752,13.3
still,1,4,18.00798163,607,18.345075,2,0,0.3063,12.8
it,1,4,18.31422063,608,18.457884,2,0,0.1128,15.37
was,1,4,18.42702963,609,18.649449,1,0,0.1915,14.56
good,1,4,18.61859463,610,18.82904,1,1,0.1796,13.35
practice,1,4,18.79818563,611,19.34387,1,1,0.5149,10.7
to,1,4,19.31301563,612,19.415914,1,0,0.072,16.35
say,1,4,19.38505963,613,19.704613,1,1,0.2887,12.79
it,1,4,19.67375863,614,19.816081,2,0,0.1115,15.37
over,1,4,19.78522663,615,20.181966,10,0,0.3658,13.02
yes,1,4,20.63002263,616,20.94551,2,0,0.2846,12.19
that,1,4,21.12090763,617,21.397299,2,0,0.2456,15.48
s,1,4,21.36644463,618,21.463054,1,0,0.0657,15.68
about,1,4,21.43219963,619,21.750401,1,0,0.2874,14.08
the,1,4,21.71954663,620,21.846183,1,0,0.0958,16.96
right,1,4,21.81532863,621,22.145503,1,0,0.2993,12.87
distance,1,4,22.11464863,622,22.768088,5,1,0.6226,10.3
but,1,4,23.18022663,623,23.3787,1,0,0.1676,14.57
then,1,4,23.34784563,624,23.541617,2,0,0.1629,13.47
I,1,4,23.51076263,625,23.681222,2,0,0.1396,15.79
wonder,1,4,23.65036763,626,24.037204,1,1,0.356,10.86
what,1,4,24.00634963,627,24.207983,2,0,0.1708,14.1
Latitude,1,4,24.17712863,628,24.85268,1,1,0.6447,7.96
or,1,4,24.82182563,629,24.971081,1,0,0.1184,14.78
Longitude,1,4,24.94022663,630,25.608846,1,1,0.6377,6.95
I,1,4,25.57799163,631,25.740262,2,0,0.1314,15.79
ve,1,4,25.70940763,632,25.809177,1,0,0.069,14.92
got,1,4,25.77832263,633,26.145221,1,1,0.336,12.61
to,1,4,26.11436663,634,26.464474,11,0,0.3193,16.35
Alice,1,4,27.16716563,635,27.621991,2,1,0.424,8.65
had,1,4,27.59113663,636,27.79666,1,0,0.1746,13.53
no,1,4,28.00526063,637,28.385632,1,0,0.3495,14.77
,99,,,638,,,0,0,16.96
,99,,,639,,,1,0,8.06
idea,1,4,28.35477763,640,28.718564,2,1,0.3329,11.8
what,1,4,28.68770963,641,28.874211,2,0,0.1557,14.1
Latitude,1,4,28.84335663,642,29.436932,2,1,0.5627,7.24
was,1,4,29.40607763,643,29.867952,2,0,0.431,14.56
or,1,4,30.17233563,644,30.346864,1,0,0.1436,14.78
Longitude,1,4,30.31600963,645,30.921557,1,1,0.5747,6.95
either,1,4,30.89070263,646,31.352578,8,0,0.4311,12.17
but,1,4,31.93233563,647,32.118836,1,0,0.1556,14.57
,99,,,648,,,0,0,13.1
thought,1,4,32.08798163,649,32.346319,1,1,0.2275,12.07
they,1,4,32.31546463,650,32.466047,2,0,0.1197,14.3
were,1,4,32.43519263,651,32.585775,1,0,0.1198,13.41
nice,1,4,32.55492063,652,32.921013,1,1,0.3352,11.64
grand,1,4,32.89015863,653,33.268224,1,1,0.3472,10.01
words,1,4,33.27328863,654,33.735798,2,1,0.4317,11.51
to,1,4,33.70494363,655,33.84402,1,0,0.1082,16.35
say,1,4,33.81316563,656,34.238853,13,1,0.3948,12.79
Presently,1,4,35.16498863,657,35.650809,2,1,0.455,8.85
she,1,4,35.61995463,658,35.890265,2,0,0.2394,13.1
began,1,4,35.85941063,659,36.29734,1,1,0.4071,10.61
again,1,4,36.26648563,660,36.788224,4,1,0.4909,12.43
I,1,4,37.59546463,661,37.762944,2,0,0.1366,15.79
wonder,1,4,37.73208963,662,38.159034,1,1,0.3961,10.86
if,1,4,38.12817963,663,38.272667,1,0,0.1137,14.65
I,1,4,38.24181263,664,38.4314,2,0,0.1587,15.79
shall,1,4,38.40054563,665,38.739789,1,0,0.3084,11
fall,1,4,38.79274363,666,39.146864,1,1,0.3232,10.74
right,1,4,39.11600963,667,39.386319,2,1,0.2395,12.87
through,1,4,39.35546463,668,39.913122,1,1,0.5268,12.63
the,1,4,39.88226763,669,40.103018,1,0,0.1899,16.96
earth,1,4,40.07216363,670,40.487816,11,1,0.3848,11.03
How,1,4,41.04362863,671,41.27802,2,0,0.2035,13.52
funny,1,4,41.40281163,672,41.721013,2,1,0.2873,10.51
it,1,4,41.69015863,673,41.840427,2,0,0.1194,15.37
ll,1,4,41.80957263,674,41.960469,1,0,0.1201,14.35
seem,1,4,41.92961463,675,42.271762,1,1,0.3112,11.71
to,1,4,42.24090763,676,42.367544,1,0,0.0958,16.35
come,1,4,42.33668963,677,42.602887,1,1,0.2354,12.35
out,1,4,42.57203263,678,42.760665,2,0,0.1577,13.9
among,1,4,42.72981063,679,43.073938,1,1,0.3133,11.01
the,1,4,43.04308363,680,43.181694,1,0,0.1078,16.96
people,1,4,43.15083963,681,43.696523,2,1,0.5148,13.55
that,1,4,43.66566863,682,43.864143,2,0,0.1676,15.48
walk,1,4,43.83328863,683,44.139517,1,1,0.2754,10.41
with,1,4,44.10866263,684,44.28319,1,0,0.1437,14.97
their,1,4,44.25233563,685,44.450809,1,0,0.1676,14.09
heads,1,4,44.41995463,686,44.845911,3,1,0.3951,9.79
downward,1,4,44.81505663,687,45.456523,15,1,0.6106,6.49
The,1,4,46.10811763,688,46.282778,1,0,0.1438,16.96
Antipathies,1,4,46.25192363,689,47.276387,2,1,0.9936,4.47
I,1,4,47.24553263,690,47.384143,2,0,0.1077,15.79
think,1,4,47.56879863,691,48.162374,4,1,0.5628,13.39
she,1,4,48.95285963,692,49.139553,2,0,0.1558,13.1
was,1,4,49.10869863,693,49.383598,1,0,0.2441,14.56
rather,1,4,49.35274363,694,49.730809,1,1,0.3472,11.89
glad,1,4,49.69995463,695,49.994211,1,1,0.2634,10.15
there,1,4,49.96335663,696,50.125911,2,0,0.1317,14.09
was,1,4,50.09505663,697,50.473122,1,0,0.3472,14.56
no,1,4,50.44226763,698,50.59285,1,0,0.1197,13.96
one,1,4,50.56199563,699,50.793757,3,0,0.2009,14.17
listening,1,4,50.76290263,700,51.275299,1,1,0.4816,9.83
this,1,4,51.24444463,701,51.490809,1,0,0.2155,14.99
time,1,4,51.45995463,702,51.873938,2,1,0.3831,13.58
as,1,4,51.92689363,703,52.095993,1,0,0.1383,14.79
it,1,4,52.06513863,704,52.233122,2,0,0.1371,15.37
did,1,4,52.20226763,705,52.407375,1,0,0.1743,12.85
nt,1,4,52.37652063,706,52.520469,1,0,0.1131,14.77
sound,1,4,52.48961463,707,52.904031,1,1,0.3835,11.71
at,1,4,52.87317663,708,53.002313,1,0,0.0983,14.5
all,1,4,52.97145863,709,53.250809,1,0,0.2485,14.35
the,1,4,53.21995463,710,53.370537,1,0,0.1197,16.96
right,1,4,53.33968263,711,53.609993,1,1,0.2395,12.87
word,1,4,53.61505663,712,53.969177,15,1,0.3233,11.84
but,1,4,55.17151963,713,55.266684,1,0,0.0643,14.57
I,1,4,55.23582963,714,55.431961,2,0,0.1652,15.79
shall,1,4,55.40110663,715,55.633394,1,0,0.2015,11
have,1,4,55.60253963,716,55.801013,1,0,0.1676,14.92
to,1,4,55.77015863,717,55.939519,1,0,0.1385,16.35
ask,1,4,55.92580563,718,56.244006,1,1,0.2874,11.84
them,1,4,56.21315163,719,56.417432,2,0,0.1734,13.59
what,1,4,56.38657763,720,56.60319,2,0,0.1858,14.1
the,1,4,56.57233563,721,56.770809,1,0,0.1676,16.96
name,1,4,56.73995463,722,56.998292,2,1,0.2275,12.6
of,1,4,56.96743763,723,57.070129,1,0,0.0718,16.21
the,1,4,57.03927463,724,57.141966,1,0,0.0718,16.96
country,1,4,57.11111163,725,57.63285,4,1,0.4909,11.58
is,1,4,57.60199563,726,57.896251,1,0,0.2634,15.68
you,1,4,57.86539663,727,58.027952,2,0,0.1317,15.43
know,1,4,57.99709763,728,58.36319,1,1,0.3353,13.59
Please,1,4,59.03873063,729,59.404823,3,1,0.3352,13.27
Maam,1,4,59.37396863,730,59.764006,14,1,0.3592,11.07
is,1,4,60.03247163,731,60.30314,1,0,0.2398,15.68
this,1,4,60.27228563,732,60.545431,1,0,0.2423,14.99
New,1,4,60.51457663,733,60.65997,1,1,0.1146,13.47
Zealand,1,4,60.62911563,734,61.26601,2,1,0.606,9.54
or,1,4,61.23515563,735,61.439944,1,0,0.1739,14.78
Australia,1,4,61.40908963,736,62.242374,6,1,0.8025,10.48
and,1,4,63.22920663,737,63.311398,1,0,0.0514,16.19
she,1,4,63.28054363,738,63.499517,2,0,0.1881,13.1
tried,1,4,63.46866263,739,63.772422,1,1,0.2729,11.69
to,1,4,63.74156763,740,63.834755,1,0,0.0623,16.35
curtsey,1,4,63.80390063,741,64.35754,1,1,0.5228,3.332
as,1,4,64.32668563,742,64.441703,1,0,0.0842,14.79
she,1,4,64.41084863,743,64.598878,2,0,0.1572,13.1
spoke,1,4,64.56802363,744,65.088867,9,1,0.49,9.44
fancy,1,4,65.36036263,745,65.822238,1,1,0.431,8.9
curtseying,1,4,65.79138363,746,66.54327,2,1,0.7211,0
as,1,4,66.51241563,747,66.686122,1,0,0.1428,14.79
you,1,4,66.65526763,748,66.768651,4,0,0.0825,15.43
re,1,4,66.73779663,749,66.883085,1,0,0.1145,14.91
falling,1,4,66.85223063,750,67.283304,1,1,0.4002,9.5
through,1,4,67.25244963,751,67.474483,1,0,0.1912,12.63
the,1,4,67.44362863,752,67.689993,1,0,0.2155,16.96
air,1,4,67.65913863,753,67.953394,7,1,0.2634,11.3
Do,1,4,68.03985163,754,68.185421,1,0,0.1147,14.12
you,1,4,68.15456663,755,68.293642,2,0,0.1082,15.43
think,1,4,68.26278763,756,68.468224,1,1,0.1746,13.39
you,1,4,68.43736963,757,68.62387,2,0,0.1557,15.43
could,1,4,68.59301563,758,68.791489,1,0,0.1676,13.21
manage,1,4,68.76063463,759,69.160773,1,1,0.3693,9.8
it,1,4,69.12991863,760,69.411847,9,0,0.251,15.37
And,1,5,0.561145631,761,0.692945,1,0,0.101,16.19
what,1,5,0.689847173,762,0.939211,2,0,0.2462,14.1
an,1,5,0.936113173,763,1.118803,1,0,0.1796,14.27
ignorant,1,5,1.115705173,764,1.62166,1,1,0.5029,9.29
little,1,5,1.618562173,765,1.861116,1,1,0.2395,12.57
girl,1,5,1.858018173,766,2.110645,3,1,0.2495,10.61
she,1,5,2.107547173,767,2.224074,2,0,0.1134,13.1
ll,1,5,2.220976173,768,2.316082,1,0,0.092,14.35
think,1,5,2.312984173,769,2.531592,1,1,0.2155,13.39
me,1,5,2.528494173,770,2.65132,2,0,0.1198,14.08
for,1,5,2.648222173,771,2.850579,1,0,0.1992,15.42
asking,1,5,2.847481173,772,3.393633,10,1,0.5431,10.92
No,1,5,4.108902173,773,4.459211,2,0,0.3472,13.96
it,1,5,4.527950173,774,4.669109,2,0,0.138,15.37
ll,1,5,4.666011173,775,4.806422,1,0,0.1374,14.35
never,1,5,4.803324173,776,5.129687,2,1,0.3232,12.62
do,1,5,5.126589173,777,5.264472,1,0,0.1348,14.12
to,1,5,5.261374173,778,5.374858,1,0,0.1104,16.35
ask,1,5,5.371760173,779,5.907919,8,1,0.5331,11.84
perhaps,1,5,6.383732173,780,6.837057,2,1,0.4502,11.6
I,1,5,6.833959173,781,6.913633,2,0,0.0766,15.79
shall,1,5,6.910535173,782,7.116318,1,0,0.2027,11
see,1,5,7.113220173,783,7.308735,1,1,0.1924,13.27
it,1,5,7.305637173,784,7.440436,2,0,0.1317,15.37
written,1,5,7.437338173,785,7.707207,1,1,0.2667,11.55
up,1,5,7.704109173,786,7.880361,1,0,0.1732,13.74
somewhere,1,5,7.877263173,787,8.527525,8,0,0.6472,10.71
Down,1,5,9.664277173,788,10.266014,2,0,0.5987,12.59
down,1,5,10.26291617,789,10.816762,2,0,0.5507,12.59
down,1,5,10.81366417,790,11.427375,4,0,0.6106,12.59
There,1,5,11.98699817,791,12.157715,2,0,0.1677,14.09
was,1,5,12.15461717,792,12.325334,1,0,0.1676,14.56
nothing,1,5,12.32223617,793,12.722038,2,0,0.3967,11.99
else,1,5,12.71894017,794,13.022894,2,1,0.3008,12.08
to,1,5,13.01979617,795,13.139483,1,0,0.1166,16.35
do,1,5,13.13638517,796,13.462749,1,1,0.3233,14.12
so,1,5,13.45965117,797,13.666286,1,0,0.2035,14.05
Alice,1,5,13.66318817,798,14.085334,2,1,0.4191,8.65
soon,1,5,14.08223617,799,14.32479,2,1,0.2394,11.41
began,1,5,14.32169217,800,14.648055,1,1,0.3233,10.61
talking,1,5,14.64495717,801,15.194867,1,1,0.5468,11.27
again,1,5,15.19176917,802,15.581932,13,0,0.3871,12.43
Dinah,1,5,16.79702417,803,17.127133,2,1,0.327,13.065272
ll,1,5,17.12403517,804,17.319585,1,0,0.1924,14.35
miss,1,5,17.31648717,805,17.650742,1,1,0.3312,10.34
me,1,5,17.64764417,806,17.808871,2,0,0.1581,14.08
very,1,5,17.80577317,807,18.192,1,1,0.3831,13.28
much,1,5,18.18890217,808,18.563157,1,0,0.3712,13.09
tonight,1,5,18.56005917,809,18.929169,5,1,0.366,9.5
I,1,5,18.92607117,810,19.00615,2,0,0.077,15.79
should,1,5,19.00305217,811,19.316602,1,0,0.3104,13.3
think,1,5,19.31350417,812,19.700572,5,1,0.384,13.39
Dinah,1,5,20.90959317,813,21.259,2,1,0.3463,13.065272
was,1,5,21.25590217,814,21.490593,1,0,0.2316,14.56
the,1,5,21.48749517,815,21.594486,1,0,0.1039,16.96
cat,1,5,21.59138817,816,22.014385,5,1,0.4199,10.56
I,1,5,23.12299917,817,23.22566,2,0,0.0996,15.79
hope,1,5,23.22256217,818,23.461583,1,1,0.2359,11.92
they,1,5,23.45848517,819,23.571798,2,0,0.1102,14.3
ll,1,5,23.56870017,820,23.652053,1,0,0.0803,14.35
remember,1,5,23.64895517,821,24.046694,1,1,0.3946,11.87
her,1,5,24.04359617,822,24.15571,1,0,0.109,13.3
saucer,1,5,24.15261217,823,24.614569,2,1,0.4589,7.15
of,1,5,24.61147117,824,24.741116,1,0,0.1266,16.21
milk,1,5,24.73801817,825,25.075592,4,1,0.3344,9.63
at,1,5,25.07249417,826,25.188142,1,0,0.1126,14.5
tea,1,5,25.18504417,827,25.483429,1,1,0.2953,9.07
time,1,5,25.48033117,828,25.986286,10,1,0.5028,13.58
Dinah,1,5,26.76141917,829,27.099756,2,1,0.3352,13.065272
my,1,5,27.09665817,830,27.267375,1,0,0.1676,14.39
dear,1,5,27.26427717,831,27.515812,3,1,0.2484,10.29
I,1,5,27.51271417,832,27.602613,2,0,0.0868,15.79
wish,1,5,27.59951517,833,27.925878,1,1,0.3233,11.22
you,1,5,27.92278017,834,28.033633,2,0,0.1078,15.43
were,1,5,28.03053517,835,28.141388,1,0,0.1077,13.41
down,1,5,28.13829017,836,28.476626,1,0,0.3353,12.59
here,1,5,28.47352817,837,28.668191,2,0,0.1915,13.08
with,1,5,28.66509317,838,29.015402,1,0,0.3472,14.97
me,1,5,29.01230417,839,29.374585,9,0,0.3592,14.08
There,1,5,29.89829017,840,30.069007,2,0,0.1676,14.09
are,1,5,30.06590917,841,30.104926,1,0,0.036,14.91
no,1,5,30.10182817,842,30.349808,1,0,0.2448,13.96
mice,1,5,30.34671017,843,30.739483,2,1,0.3897,8.34
in,1,5,30.73638517,844,30.823293,1,0,0.0838,15.9
the,1,5,30.82019517,845,30.978939,1,0,0.1557,16.96
air,1,5,30.97584117,846,31.204757,6,1,0.2258,11.3
I,1,5,31.20165917,847,31.263172,2,0,0.0584,15.79
m,1,5,31.26007417,848,31.343281,1,0,0.0801,13.213
afraid,1,5,31.34018317,849,31.75717,5,1,0.4139,10.06
but,1,5,31.75407217,850,31.912817,1,0,0.1557,14.57
you,1,5,31.96958317,851,32.068463,2,0,0.0958,15.43
might,1,5,32.06536517,852,32.340278,1,0,0.2718,12.53
catch,1,5,32.33718017,853,32.583293,1,1,0.243,10.03
a,1,5,32.58019517,854,32.65513,1,0,0.0719,16.18
bat,1,5,32.65203217,855,33.397443,5,1,0.7423,8.77
and,1,5,33.74155517,856,33.852409,1,0,0.1077,16.19
that,1,5,33.84931117,857,34.003604,2,0,0.1512,15.48
s,1,5,34.00050617,858,34.103837,1,0,0.1003,15.68
very,1,5,34.10073917,859,34.380529,1,1,0.2767,13.28
like,1,5,34.37743117,860,34.694371,1,0,0.3138,13.87
a,1,5,34.69127317,861,34.750368,1,0,0.056,16.18
mouse,1,5,34.74727017,862,35.169415,7,1,0.4191,10.54
you,1,5,35.16631717,863,35.258483,2,0,0.089,15.43
know,1,5,35.25538517,864,35.636354,5,1,0.3779,13.59
But,1,5,36.35162417,865,36.522341,1,0,0.1676,14.57
