Word,Trigger,Segment,onset,offset,Order,LogFreq,LogFreq_Prev,LogFreq_Next,SndPower,Length,Position,Sentence,IsLexical,NGRAM,RNN,CFG
was,1,7,6.639124195,6.754877,1167,14.56,14.09,11.99,3.85E-09,0.115752805,16,49,0,1.380380713,2.121982484,1.941603047
nothing,1,7,6.806743195,7.149979,1168,11.99,14.56,15.08,3.68E-09,0.343235805,17,49,1,2.748676251,5.986903172,4.068191429
on,1,7,7.201845195,7.388459,1169,15.08,11.99,15.37,3.72E-09,0.186613805,18,49,0,1.693322949,1.674361406,2.241662612
it,1,7,7.440325195,7.616918,1170,15.37,15.08,14.57,3.64E-09,0.176592805,19,49,0,2.421403217,2.204789495,2.125177383
except,1,7,7.668784195,7.923073,1171,14.57,15.37,16.18,3.25E-09,0.254288805,20,49,0,4.049363909,4.273872467,2.135074154
a,1,7,7.974939195,8.016143,1172,16.18,14.57,9.67,3.76E-09,0.041203805,21,49,0,1.412377524,1.705390425,4.065472284
tiny,1,7,8.068009195,8.44304,1173,9.67,16.18,9.77,3.79E-09,0.375030805,22,49,1,2.414520182,2.429001127,4.387725101
golden,1,7,8.494906195,8.886034,1174,9.77,9.67,11.47,3.65E-09,0.391127805,23,49,1,3.237331874,3.774458326,4.290545962
key,1,7,8.937900195,9.281136,1175,11.47,9.77,16.19,3.75E-09,0.343235805,24,49,1,0.705457938,0.913224656,3.629771877
and,1,7,9.835859195,9.98753,1176,16.19,11.47,12.9180065,3.68E-09,0.151670805,25,49,0,3.281191291,2.898376492,8.762646642
Alice's,1,7,10.03939619,10.514333,1177,12.9180065,16.19,13.16,3.85E-09,0.47493681,26,49,1,5.171378343,4.024135187,3.164976606
first,1,7,10.56619919,10.969299,1178,13.16,12.9180065,11.8,3.51E-09,0.40309981,27,49,1,2.767554769,3.578577376,4.378211421
thought,1,7,11.02116519,11.31651,1179,11.8,13.16,14.56,4.06E-09,0.29534481,28,49,1,2.228645018,1.410330612,3.385573293
was,1,7,11.60783219,11.699639,1180,14.56,11.8,15.48,3.91E-09,0.09180681,29,49,0,3.256944538,3.478327681,2.040561882
that,1,7,11.75150519,11.872906,1181,15.48,14.56,14.99,3.58E-09,0.12140081,30,49,0,2.967229223,3.139238467,3.421880033
it,1,7,11.92477219,11.998959,1182,14.99,15.48,12.53,4.11E-09,0.07418681,31,49,0,2.633710964,2.452095056,1.211311974
might,1,7,12.05082519,12.250387,1183,12.53,14.99,9.6,3.75E-09,0.19956181,32,49,1,3.150307324,3.161453688,4.650847789
belong,1,7,12.30225319,12.645489,1184,9.6,12.53,16.35,3.60E-09,0.34323581,33,49,1,0.778503815,0.963573837,3.541773009
to,1,7,12.69735519,12.813108,1185,16.35,9.6,14.17,3.51E-09,0.11575281,34,49,0,4.113643218,4.04897113,4.888539905
one,1,7,12.86497419,12.980727,1186,14.17,16.35,16.21,3.95E-09,0.11575281,35,49,1,5.620968091,7.917771357,4.981896457
of,1,7,13.03259319,13.07651,1187,16.21,14.17,16.96,3.89E-09,0.04391681,36,49,0,0.631119831,2.647103923,2.196634368
the,1,7,13.12837619,13.148347,1188,16.96,16.21,9.43,3.96E-09,0.01997081,37,49,0,0.432076543,1.622984983,3.908769843
doors,1,7,13.20021319,13.50753,1189,9.43,16.96,16.21,4.02E-09,0.30731681,38,49,1,3.690163824,3.242902452,4.118176426
of,1,7,13.55939619,13.603313,1190,16.21,9.43,16.96,3.70E-09,0.04391681,39,49,0,1.966677768,2.610203433,2.146729883
the,1,7,13.65517919,13.698878,1191,16.96,16.21,10.42,3.77E-09,0.04369881,40,49,0,1.565345669,1.580150663,3.678236305
hall,1,7,13.75074419,14.094197,1192,10.42,16.96,14.57,3.38E-09,0.34345281,41,49,1,0.824339779,0.832403578,3.200808729
but,1,7,15.16375019,15.243476,1193,14.57,10.42,8.38,3.63E-09,0.07972581,1,50,0,3.148749339,2.813810936,8.769514164
alas,1,7,15.29534219,15.818278,1194,8.38,14.57,12.17,3.85E-09,0.52293581,2,50,0,4.881872309,4.980943419,4.575067491
either,1,7,15.87014419,16.163357,1195,12.17,8.38,16.96,3.27E-09,0.29321281,3,50,0,3.875029123,4.029976163,2.937781698
the,1,7,16.21522319,16.273244,1196,16.96,12.17,8.79,3.50E-09,0.05802081,4,50,0,2.795860918,4.396279218,3.428154171
locks,1,7,16.32511019,16.740183,1197,8.79,16.96,13.41,3.53E-09,0.41507281,5,50,1,4.642029101,4.515188304,5.386513555
were,1,7,16.79204919,16.877619,1198,13.41,8.79,12.87,3.77E-09,0.08556981,6,50,0,2.774032528,2.607874642,1.600841745
too,1,7,16.92948519,17.087394,1199,12.87,13.41,11.81,4.23E-09,0.15790881,7,50,1,2.191266683,2.998962787,4.435729007
large,1,7,17.13926019,17.454717,1200,11.81,12.87,14.78,3.80E-09,0.31545681,8,50,1,2.404132513,3.371157064,4.985880127
or,1,7,17.50658319,17.54236,1201,14.78,11.81,16.96,3.87E-09,0.03577681,9,50,0,3.085978186,4.155287968,8.861408445
the,1,7,17.59422619,17.638142,1202,16.96,14.78,11.47,3.82E-09,0.04391581,10,50,0,3.290951115,2.90621377,4.793249222
key,1,7,17.69000819,17.913517,1203,11.47,16.96,14.56,3.93E-09,0.22350881,11,50,1,1.559439281,1.187561578,4.390536358
was,1,7,17.96538319,18.129027,1204,14.56,11.47,12.87,4.40E-09,0.16364381,12,50,0,3.557386358,2.916314805,1.695820631
too,1,7,18.18089319,18.284673,1205,12.87,14.56,11.98,3.73E-09,0.10377981,13,50,1,2.757775012,3.058226717,3.769345387
small,1,7,18.33653919,18.835421,1206,11.98,12.87,14.57,3.82E-09,0.49888181,14,50,1,2.404132513,3.376340617,4.957779068
but,1,7,19.29436219,19.384582,1207,14.57,11.98,14.5,3.88E-09,0.09021981,15,50,0,3.085978186,4.147013722,8.833968057
at,1,7,19.43644819,19.518777,1208,14.5,14.57,13.95,3.94E-09,0.08232881,16,50,0,4.505597514,4.219763151,2.876169359
any,1,7,19.57064319,19.829163,1209,13.95,14.5,11.38,3.90E-09,0.25851981,17,50,0,1.470929829,1.524746653,4.656471397
rate,1,7,19.88102919,20.092564,1210,11.38,13.95,15.37,3.73E-09,0.21153481,18,50,1,0.824339779,0.822129395,4.183332099
it,1,7,20.14443019,20.200319,1211,15.37,11.38,14.06,0.0048153,0.05588881,19,50,0,3.719363572,4.014659761,1.698893053
would,1,7,20.25218519,20.355966,1212,14.06,15.37,14.77,0.015174,0.10378081,20,50,0,2.82162247,3.012342445,4.595563031
not,1,7,20.40783219,20.557702,1213,14.77,14.06,11.88,0.013543,0.14986981,21,50,0,1.65297481,2.658105404,3.972169045
open,1,7,20.60956819,20.870795,1214,11.88,14.77,13.95,0.00013935,0.26122681,22,50,1,0.438650639,1.52502979,2.459805038
any,1,7,20.92266119,21.14617,1215,13.95,11.88,16.21,0.003031,0.22350881,23,50,0,2.786938219,2.631079976,4.380207013
of,1,7,21.19803619,21.27787,1216,16.21,13.95,13.59,0.005008,0.07983381,24,50,0,5.711490631,6.151738431,2.31668362
them,1,7,21.32973619,21.613108,1217,13.59,16.21,12.35,0.0049947,0.28337181,25,50,0,1.653519607,2.51624049,2.235922542
However,1,7,22.42431519,22.930871,1218,12.35,13.59,15.08,8.75E-05,0.50655581,26,50,1,3.875029123,2.994773074,2.937781698
on,1,7,22.98273719,23.085761,1219,15.08,12.35,16.96,0.0011773,0.10302381,27,50,0,2.98850285,3.911650822,3.328743843
the,1,7,23.13762719,23.169571,1220,16.96,15.08,11.92,0.00081261,0.03194381,28,50,0,1.5749095,1.384942914,3.53411133
second,1,7,23.22143719,23.600591,1221,11.92,16.96,13.58,0.0043736,0.37915381,29,50,1,2.414520182,2.523404296,4.815925941
time,1,7,23.65245719,23.923857,1222,13.58,11.92,10.76,0.011583,0.27139981,30,50,1,0.515633001,0.780800669,4.49794028
round,1,7,23.97572319,24.28304,1223,10.76,13.58,13.1,0.0006858,0.30731681,31,50,1,5.463409041,5.486982637,4.617127655
she,1,7,24.33490619,24.510523,1224,13.1,10.76,11.65,0.002192,0.17561681,32,50,0,4.702322095,4.00731648,2.284361175
came,1,7,24.56238919,24.817448,1225,11.65,13.1,11.27,0.0077356,0.25505881,33,50,1,1.107378018,1.414131002,1.948693836
upon,1,7,24.86931419,25.172414,1226,11.27,11.65,16.18,5.68E-05,0.30309981,34,50,0,3.166598059,3.472289534,2.915819518
a,1,7,25.22428019,25.271174,1227,16.18,11.27,11.36,0.0020268,0.04689381,35,50,0,1.255200496,1.125983256,4.770034808
low,1,7,25.32304019,25.588074,1228,11.36,16.18,7.58,0.0015562,0.26503381,36,50,1,2.414520182,2.430627595,4.385469159
curtain,1,7,25.63994019,26.12685,1229,7.58,11.36,13.1,0.0056552,0.48690981,37,50,1,0.515633001,0.756047526,3.947475416
she,1,7,26.17871619,26.354333,1230,13.1,7.58,13.53,0.00062715,0.17561681,38,50,0,3.771517843,4.043365196,1.830202568
had,1,7,26.40619919,26.593789,1231,13.53,13.1,14.77,0.00176,0.18758981,39,50,0,1.107378018,1.218334782,2.053498993
not,1,7,26.64565519,26.785353,1232,14.77,13.53,10.53,5.43E-07,0.13969781,40,50,0,2.449772483,2.312279013,4.168471936
noticed,1,7,26.83721919,27.216374,1233,10.53,14.77,12.75,2.65E-07,0.37915481,41,50,1,2.74808827,5.041045402,3.405894103
before,1,7,27.26824019,27.731204,1234,12.75,10.53,16.19,0.0009625,0.46296381,42,50,1,3.13894633,3.461586435,4.014429844
and,1,7,28.32184519,28.473517,1235,16.19,12.75,11.08,1.11E-06,0.15167181,1,51,0,5.036009773,4.30636059,8.593576734
behind,1,7,28.52538319,28.927448,1236,11.08,16.19,15.37,0.0010943,0.40206481,2,51,0,1.875912727,3.486234224,3.5563529
it,1,7,28.97931419,29.096102,1237,15.37,11.08,14.56,0.0017725,0.11678781,3,51,0,2.205315117,3.377701276,1.715425003
was,1,7,29.14796819,29.232633,1238,14.56,15.37,16.18,0.011616,0.08466481,4,51,0,1.450426889,1.666127955,1.380881882
a,1,7,29.28449919,29.323539,1239,16.18,14.56,12.57,0.00015253,0.03903981,5,51,0,2.991921114,2.67058988,4.106495427
little,1,7,29.37540519,29.658823,1240,12.57,16.18,10.89,0.0036859,0.28341781,6,51,1,2.447845765,1.847949997,4.371361746
door,1,7,29.71068919,30.101816,1241,10.89,12.57,14.08,9.58E-05,0.39112681,7,51,1,0.515633001,0.89898676,3.977843704
about,1,7,30.23749119,30.521828,1242,14.08,10.89,8.53,0.0021418,0.28433681,8,51,1,4.20964694,4.402936208,3.048007996
fifteen,1,7,30.57369419,31.035693,1243,8.53,14.08,9.55,8.45E-07,0.46199881,9,51,1,8.399030118,7.005482025,6.394146129
inches,1,7,31.08755919,31.418823,1244,9.55,8.53,12.13,0.0011974,0.33126381,10,51,1,1.100979985,4.632647544,5.264561375
high,1,7,31.47068919,31.778006,1245,12.13,9.55,13.1,0.016579,0.30731681,11,51,1,2.033863764,5.618909635,4.236816122
she,1,7,32.57218519,32.723857,1246,13.1,12.13,11.69,0.0034419,0.15167181,12,51,0,5.381091663,4.322425333,1.884975544
tried,1,7,32.77572319,33.106986,1247,11.69,13.1,16.96,0.0010517,0.33126281,13,51,1,1.650536515,1.507005346,1.755418306
