Order,praatword,distance,surprisal
542,aloud,12,12.937252
543,i,9,3.636761
544,must,11,6.292978
545,be,11,2.421031
546,getting,12,6.926765
547,somewhere,13,8.136864
548,near,14,5.744112
549,the,9,0.820021
550,centre,16,7.232102
551,of,16,1.395534
552,the,8,0.504271
553,earth,18,6.040481
554,let,9,7.706418
555,me,9,2.071546
556,see,13,3.211559
557,that,13,2.454106
558,would,14,10.641616
559,be,15,2.464905
560,four,16,10.373991
561,thousand,16,7.707654
562,miles,18,3.652239
563,down,17,5.673976
564,i,17,7.217625
565,think,18,2.695876
566,for,20,5.182549
567,you,18,3.049075
568,see,22,7.157321
569,alice,19,11.886437
570,had,21,9.687968
571,learnt,21,11.167291
572,several,22,6.615689
573,things,23,3.165813
574,of,23,4.976684
575,this,23,4.135124
576,sort,25,4.634198
577,in,21,4.389727
578,her,26,3.223625
579,lessons,27,11.060772
580,in,25,2.532261
581,the,7,1.526735
583,room,5,3.036941
584,and,26,3.705170
585,though,26,11.786229
586,this,25,4.800090
587,was,28,4.763092
588,not,23,2.275242
589,a,8,1.876512
590,very,29,4.717518
591,good,29,2.214772
592,opportunity,30,5.049583
593,for,29,2.539135
594,showing,30,8.579974
595,off,32,4.912052
596,her,33,3.924696
597,knowledge,33,7.836600
598,as,15,5.731103
599,there,34,6.441823
600,was,32,1.396229
601,no,24,2.216690
602,one,29,3.814121
603,to,17,2.974207
604,listen,37,5.499972
605,to,15,0.585225
606,her,39,4.056107
607,still,40,9.878441
608,it,28,5.700237
609,was,30,3.865525
610,good,30,5.751715
611,practice,31,8.532102
612,to,17,3.367934
613,say,34,4.116248
614,it,23,3.358176
615,over,36,7.536939
616,yes,36,9.755032
617,that,15,5.173238
618,'s,31,1.392377
619,about,18,5.041988
620,the,9,2.078464
621,right,33,4.965810
622,distance,33,9.505037
623,but,23,6.501044
624,then,32,4.868760
625,i,26,3.320577
626,wonder,34,7.028953
627,what,26,1.483588
628,latitude,36,15.768162
629,or,35,6.265481
630,longitude,34,10.213565
631,i,23,2.541930
632,'ve,36,2.989672
633,got,35,2.654763
634,to,21,1.728261
635,alice,9,10.852302
636,had,11,5.242575
637,no,9,3.697431
640,idea,11,2.195881
641,what,11,2.682412
642,latitude,13,14.817365
643,was,13,3.086926
644,or,14,8.997699
645,longitude,14,14.386751
646,either,15,7.733231
647,but,16,6.145220
649,thought,16,10.256157
650,they,15,4.118801
651,were,18,1.449306
652,nice,18,8.088279
653,grand,19,12.440524
654,words,20,8.135312
655,to,19,3.750765
656,say,22,4.888978
657,presently,9,11.439944
658,she,10,4.957881
659,began,11,7.042950
660,again,12,8.224495
661,i,9,3.636761
662,wonder,11,7.103999
663,if,12,1.416246
664,i,12,1.711491
665,shall,14,7.254569
666,fall,14,7.198111
667,right,15,5.345390
668,through,16,4.764457
669,the,12,1.343459
670,earth,18,7.792196
671,how,9,6.702081
672,funny,11,8.546803
673,it,10,4.118639
674,'ll,12,8.005795
675,seem,13,5.536537
676,to,14,1.413796
677,come,16,4.516945
678,out,17,3.263848
679,among,18,8.420067
680,the,8,1.247801
681,people,18,4.140455
682,that,19,4.080733
683,walk,18,7.578831
684,with,21,4.501773
685,their,22,3.574075
686,heads,23,4.891777
687,downward,23,12.652424
688,the,9,1.970576
689,antipathies,5,3.791491
690,i,10,7.382610
691,think,13,3.155229
692,she,13,5.139180
693,was,16,2.854981
694,rather,16,8.527513
