Order,praatword,distance
651,were,1.170946
652,nice,7.630737
653,grand,12.926488
654,words,7.803687
655,to,3.043016
656,say,3.360373
657,presently,7.043261
658,she,1.509367
659,began,3.772839
660,again,4.174191
661,i,2.490530
662,wonder,4.571876
663,if,0.997496
664,i,1.827879
665,shall,2.310538
666,fall,6.937220
667,right,5.485413
668,through,5.352515
669,the,2.060260
670,earth,6.064586
671,how,5.158428
672,funny,5.384953
673,it,1.618149
674,'ll,4.781389
675,seem,3.722368
676,to,0.647467
677,come,5.855200
678,out,2.874990
679,among,7.524523
680,the,0.909588
681,people,3.145530
682,that,4.292885
683,walk,6.603144
684,with,3.983232
685,their,3.776432
686,heads,3.862465
687,downward,11.633947
688,the,2.803968
689,antipathies,3.977071
690,i,6.064908
691,think,3.211661
692,she,3.476964
693,was,3.417561
694,rather,5.103900
695,glad,4.873667
696,there,5.711554
697,was,0.760801
698,no,2.308570
699,one,2.388107
700,listening,8.155838
701,this,6.124903
702,time,1.782910
703,as,4.216254
704,it,4.032061
705,did,3.171497
706,n't,3.735795
707,sound,3.148769
708,at,3.760351
709,all,0.370846
710,the,4.413181
711,right,4.816282
712,word,4.752769
713,but,3.359321
714,i,2.679346
715,shall,5.265348
716,have,2.590500
717,to,0.406923
718,ask,3.185204
719,them,4.152656
720,what,3.802630
721,the,3.604752
722,name,5.963866
723,of,1.671078
724,the,1.175861
725,country,5.628089
726,is,0.618521
727,you,7.991858
728,know,1.567381
729,please,7.404157
730,ma'am,5.640730
731,is,6.849106
732,this,3.785017
733,new,5.569622
734,zealand,8.215502
735,or,4.721989
736,australia,6.913914
737,and,3.203713
738,she,2.685601
739,tried,5.877050
740,to,0.226995
741,curtsey,10.546715
742,as,3.967979
743,she,1.274296
744,spoke,3.239596
745,fancy,12.731361
746,curtseying,14.110079
747,as,4.610922
748,you,5.138611
749,'re,4.647606
750,falling,7.754659
751,through,5.092361
752,the,1.739947
753,air,3.202870
754,do,5.034885
755,you,0.804514
756,think,1.697662
757,you,2.043869
758,could,2.281774
759,manage,3.952580
760,it,2.235470
761,and,3.203713
762,what,4.145269
763,an,4.919232
764,ignorant,6.193037
765,little,3.493147
