Order,praatword,distance
764,ignorant,6.272884
765,little,3.554075
766,girl,2.017869
767,she,1.540686
768,'ll,6.919746
769,think,4.088165
770,me,5.558205
771,for,6.800895
772,asking,7.749679
773,no,4.973435
774,it,3.610295
775,'ll,5.815897
776,never,3.413080
777,do,1.594981
778,to,2.154243
779,ask,5.783329
780,perhaps,8.343937
781,i,2.892567
782,shall,2.451852
783,see,3.367476
784,it,2.397397
785,written,11.045060
786,up,4.264978
787,somewhere,6.417078
788,down,8.194143
789,down,5.587062
790,down,4.871529
791,there,4.011641
792,was,0.761845
793,nothing,2.971340
794,else,2.999541
795,to,0.863249
796,do,0.899567
797,so,5.812701
798,alice,10.953012
799,soon,9.484333
800,began,3.557737
801,talking,5.073559
802,again,3.743689
803,dinah,12.010456
804,'ll,7.757412
805,miss,7.123038
806,me,3.257219
807,very,4.975333
808,much,0.563501
809,to-night,6.455660
810,i,3.821848
811,should,4.002260
812,think,2.404007
813,dinah,12.010456
814,was,2.581056
815,the,4.575579
816,cat,9.165976
817,i,2.495077
818,hope,4.230386
819,they,3.413106
820,'ll,1.468874
821,remember,7.007029
822,her,3.515301
823,saucer,15.798752
824,of,3.894462
825,milk,3.241764
826,at,4.587193
828,time,4.296711
829,dinah,12.010456
830,my,6.346710
831,dear,1.063812
832,i,2.495077
833,wish,3.954297
834,you,1.516402
835,were,2.225346
836,down,7.212774
837,here,1.421726
838,with,4.574798
839,me,0.950206
840,there,4.011642
841,are,3.003279
842,no,2.664477
843,mice,10.921496
844,in,2.307911
845,the,0.760845
846,air,8.357101
847,i,4.057104
848,'m,2.762167
849,afraid,1.588302
850,but,4.096537
851,you,3.926375
852,might,5.393044
853,catch,5.271981
854,a,3.335655
855,bat,9.176144
856,and,2.061242
857,that,4.442337
858,'s,1.647392
859,very,4.718994
860,like,6.861633
861,a,2.929960
862,mouse,4.833882
863,you,4.032979
864,know,1.274715
865,but,3.167539
866,do,4.955030
867,cats,13.819342
868,eat,4.456510
869,bats,13.818528
870,i,5.278992
871,wonder,6.258087
872,and,3.138234
873,here,5.198823
874,alice,8.828234
875,began,4.269654
876,to,1.231931
877,get,5.082672
878,rather,4.497107
879,sleepy,5.799013
880,and,2.425970
881,went,3.669172
882,on,1.799181
883,saying,5.398304
884,to,2.223145
885,herself,0.207048
886,in,4.059225
887,a,0.741615
888,dreamy,7.028431
889,sort,3.060760
890,of,0.030201
891,way,0.306826
892,do,5.503738
893,cats,15.650165
894,eat,5.076667
895,bats,12.869896
896,do,5.094278
897,cats,13.222984
898,eat,4.126259
899,bats,13.355032
900,and,3.138234
901,sometimes,6.745622
902,do,7.725608
903,bats,15.080035
904,eat,8.580338
905,cats,6.442792
906,for,4.965308
907,you,4.961650
908,see,2.740006
909,as,5.624066
910,she,3.141084
911,could,6.131313
912,n't,1.213030
913,answer,5.254318
914,either,5.569139
915,question,5.122269
916,it,3.903951
917,did,4.380522
918,n't,0.681971
919,much,6.620369
920,matter,0.181013
921,which,5.357601
922,way,3.299421
923,she,2.521226
924,put,5.648077
925,it,1.514442
926,she,2.420359
927,felt,3.839449
928,that,1.682043
929,she,1.033895
930,was,1.373512
931,dozing,9.590652
932,off,4.663597
933,and,2.368814
934,had,3.944857
935,just,5.207637
936,begun,2.523511
937,to,0.461236
938,dream,5.656756
939,that,2.897608
940,she,1.095003
941,was,1.381525
942,walking,5.583868
943,hand,9.442703
944,in,2.158062
945,hand,0.135422
946,with,2.851583
947,dinah,14.179720
949,was,2.120843
950,saying,5.313868
951,to,2.831175
952,her,1.611727
953,very,5.488912
954,earnestly,2.663726
955,now,6.299304
956,dinah,16.014444
957,tell,5.563585
958,me,0.239073
959,the,4.140828
960,truth,1.095285
961,did,7.667607
962,you,0.404682
963,ever,1.553972
964,eat,8.497587
965,a,2.302092
966,bat,10.027601
967,when,4.629568
968,suddenly,7.088544
969,thump,16.525715
970,thump,15.131967
971,down,8.194143
972,she,4.511077
973,came,3.684105
974,upon,4.829910
975,a,2.444645
976,heap,7.491802
977,of,0.082535
978,sticks,8.450006
979,and,1.185729
980,dry,7.574350
981,leaves,4.652006
982,and,1.578761
983,the,3.832492
984,fall,10.142311
985,was,2.657940
986,over,4.084380
987,alice,8.048592
988,was,2.287634
989,not,2.720045
990,a,2.924120
991,bit,4.345087
992,hurt,6.404476
993,and,2.811926
994,she,1.499193
995,jumped,7.873651
996,up,0.741306
997,onto,4.604629
998,her,1.945570
999,feet,2.523020
1000,in,4.147164
1001,a,1.216931
1002,moment,3.211535
1003,she,4.224516
1004,looked,4.111898
1005,up,2.930729
1006,but,5.847868
1007,it,4.611375
1008,was,0.455500
1009,all,3.874821
1010,dark,3.489218
1011,overhead,8.966475
1012,before,6.303626
1013,her,1.141085
1014,was,5.760017
1015,another,6.186021
1016,long,7.741265
1017,passage,5.215218
1018,and,2.053665
1019,the,1.880303
1020,white,6.083832
1021,rabbit,8.343675
1022,was,1.797433
1023,still,4.881099
1024,in,2.740471
1025,sight,4.838835
1026,hurrying,10.294174
1027,down,2.143269
1028,it,5.633783
1029,there,4.011642
1030,was,0.761847
1031,not,3.783963
1032,a,0.875561
1033,moment,3.721889
1034,to,1.427513
1035,be,1.769818
1036,lost,3.674545
1037,away,8.503513
1038,went,9.443986
1039,alice,10.543282
1040,like,9.029145
1041,the,2.229218
1042,wind,4.268662
1043,and,1.783855
1044,was,3.378865
1045,just,4.666509
1046,in,3.968788
1047,time,0.985876
1048,to,0.764555
1049,hear,3.598413
1050,it,2.981508
1051,say,6.702291
1052,as,5.810210
1053,it,3.039135
1054,turned,5.180081
1055,a,4.599146
1056,corner,0.608967
1057,oh,6.882054
1058,my,4.901351
1059,ears,10.095025
1060,and,2.726974
1061,whiskers,11.112059
1062,how,5.207927
1063,late,8.767193
1064,it,2.224066
1065,'s,4.978197
1066,getting,4.267655
1067,she,2.420359
1068,was,1.922630
1069,close,7.434532
1070,behind,4.179011
1071,it,4.035486
1072,when,4.460516
1073,she,0.787359
1074,turned,4.735197
1075,the,2.967611
1076,corner,1.154544
1077,but,4.955030
1078,the,2.867064
1079,rabbit,7.217770
1080,was,1.479528
1081,no,4.976797
1082,longer,0.254635
1083,to,6.107738
1084,be,0.665716
1085,seen,0.091909
1086,she,4.853914
1087,found,4.339736
1088,herself,1.481616
1089,in,2.570711
1090,a,1.553780
1091,long,4.255585
1092,low,4.960241
1093,hall,5.335612
1094,which,3.811533
1095,was,1.150372
1096,lit,8.021803
1097,up,0.827888
1098,by,1.813684
1099,a,1.634724
1100,row,3.454002
1101,of,0.061382
1102,lamps,7.922634
1103,hanging,7.211764
1104,from,4.003376
1105,the,0.503548
1106,roof,4.713168
1107,there,4.011642
1108,were,2.120977
1109,doors,6.793946
1110,all,5.190505
1111,round,1.982377
1112,the,1.197036
1113,hall,3.167698
1114,but,4.035835
1115,they,3.712355
1116,were,0.894499
1117,all,3.020512
1118,locked,3.102338
1119,and,1.484589
1120,when,5.482380
1121,alice,8.924465
1122,had,2.826424
1123,been,2.863927
1124,all,7.488287
1125,the,3.503979
1126,way,3.263241
1127,down,2.323984
1128,one,6.267286
1129,side,3.056754
1130,and,2.959394
1131,up,4.457936
1132,the,0.984587
1133,other,2.525118
1134,trying,9.566956
1135,every,7.943182
1136,door,5.377157
1137,she,1.568502
1138,walked,5.306395
1139,sadly,9.321096
1140,down,2.647650
1141,the,0.267656
1142,middle,5.609247
1143,wondering,11.344931
1144,how,4.383636
1145,she,1.669685
1146,was,3.337210
1147,ever,4.368126
1148,to,3.518066
1149,get,2.311860
1150,out,2.521254
1151,again,4.090226
1152,suddenly,6.768376
1153,she,1.638204
1154,came,4.563122
1155,upon,4.360487
1156,a,2.340759
1157,little,2.823039
1159,legged,4.316722
1160,table,6.593584
1161,all,6.772268
1162,made,6.901021
1163,of,2.314811
1164,solid,5.270856
1165,glass,4.926514
1166,there,6.568579
1167,was,1.535429
1168,nothing,3.949963
1169,on,4.463165
1170,it,2.358566
1171,except,3.267134
1172,a,2.007844
1173,tiny,3.634654
1174,golden,7.499942
1175,key,1.947782
1176,and,1.846735
1177,Alice's,2.150036
1178,first,6.831885
1179,thought,3.571261
1180,was,0.538378
1181,that,1.245722
1182,it,2.211396
1183,might,3.074406
1184,belong,7.805023
