AUDIOTEXT,Trigger,segment,tmin,Order,LexFunc
the,1,3,19.89130379,419,0
shelves,1,3,19.98708679,420,1
as,1,3,20.45402479,421,0
she,1,3,20.52586179,422,0
passed,1,3,20.72939979,423,1
it,1,3,21.66327679,424,0
was,1,3,21.80789779,425,0
labelled,1,3,22.00702479,426,1
orange,1,3,22.57196479,427,1
marmalade,1,3,23.11249479,428,1
but,1,3,24.33320879,429,0
to,1,3,24.46490979,430,0
her,1,3,24.54871879,431,0
great,1,3,24.69239279,432,0
disappointment,1,3,25.04467379,433,1
it,1,3,25.78191679,434,0
was,1,3,25.90463179,435,0
empty,1,3,26.10518179,436,1
she,1,3,27.24259679,437,0
did,1,3,27.42218879,438,0
not,1,3,27.57783479,439,0
like,1,3,27.76956379,440,1
to,1,3,27.93701879,441,0
drop,1,3,28.03280079,442,1
the,1,3,28.35606579,443,0
jar,1,3,28.45184879,444,1
for,1,3,28.70327679,445,0
fear,1,3,28.87089579,446,1
of,1,3,29.17021579,447,0
killing,1,3,29.24205279,448,1
somebody,1,3,29.61320879,449,0
,99,,,450,1
so,1,3,30.41538579,451,0
she,1,3,30.57975079,452,
managed,1,3,30.75062379,453,1
to,1,3,31.20558979,454,0
put,1,3,31.28939979,455,1
it,1,3,31.48191579,456,0
into,1,3,31.60636979,457,0
one,1,3,31.94790279,458,1
of,1,3,32.11244379,459,0
the,1,3,32.21130379,460,0
cupboards,1,3,32.30183079,461,1
as,1,3,32.80994379,462,0
she,1,3,32.89375279,463,0
fell,1,3,33.09729079,464,1
past,1,3,33.31280079,465,0
it,1,3,33.74353779,466,0
Well,1,3,35.74327679,467,1
thought,1,3,36.53985379,468,1
Alice,1,3,36.69745379,469,1
to,1,3,37.12014779,470,0
herself,1,3,37.25262979,471,0
after,1,3,37.91008579,472,1
such,1,3,38.25314779,473,1
a,1,3,38.52478379,474,0
fall,1,3,38.58082779,475,1
as,1,3,38.85445579,476,0
this,1,3,39.05973979,477,0
I,1,3,39.34469879,478,0
shall,1,3,39.40695079,479,0
think,1,3,39.61048779,480,1
nothing,1,3,39.88586179,481,1
of,1,3,40.47252879,482,0
tumbling,1,3,40.55633779,483,1
down,1,3,41.02327679,484,0
stairs,1,3,41.27470579,485,1
How,1,3,42.67552179,486,0
brave,1,3,43.00499679,487,1
they,1,3,43.52558979,488,0
ll,1,3,43.66323679,489,0
all,1,3,43.76783279,490,0
think,1,3,43.95661079,491,1
me,1,3,44.25592979,492,0
at,1,3,44.37565779,493,0
home,1,3,44.51420779,494,1
Why,1,3,45.42502979,495,0
I,1,3,45.72658979,496,0
would,1,3,45.81239279,497,0
nt,1,3,46.00234879,498,0
say,1,3,46.11171279,499,0
anything,1,3,46.32722279,500,0
about,1,3,46.81303279,501,0
it,1,3,47.10374579,502,0
even,1,3,47.24876179,503,0
if,1,3,47.52689079,504,0
I,1,3,47.68014779,505,0
fell,1,3,47.82382079,506,1
off,1,3,48.07625279,507,0
the,1,3,48.25484179,508,0
top,1,3,48.36628679,509,1
of,1,3,48.66191679,510,0
the,1,3,48.74572579,511,0
house,1,3,48.86911379,512,1
Which,1,3,50.01484179,513,0
was,1,3,50.24312279,514,0
very,1,3,50.42191679,515,1
likely,1,3,50.68426379,516,1
TRUE,1,3,51.08674579,517,1
Down,1,3,52.75661079,518,0
down,1,3,53.76232479,519,0
down,1,3,54.89973979,520,0
Would,1,3,55.98926379,521,0
the,1,3,56.08979379,522,0
fall,1,3,56.15689079,523,1
never,1,3,56.43225679,524,1
come,1,3,57.00927379,525,1
to,1,3,57.28232479,526,0
an,1,3,57.45149679,527,0
end,1,3,57.59651379,528,1
I,1,3,58.81484179,529,0
wonder,1,3,58.99095979,530,0
how,1,3,59.42545379,531,0
many,1,3,59.71888679,532,1
miles,1,3,59.94028379,533,1
I,1,3,60.45575679,534,0
ve,1,3,60.56654879,535,0
fallen,1,3,60.64667879,536,1
by,1,3,61.05375279,537,0
this,1,3,61.26926379,538,0
time,1,3,61.59139379,539,1
she,1,3,62.07143979,540,0
said,1,3,62.26300479,541,1
aloud,1,3,62.53837879,542,1
,99,,,543,0
must,1,4,0.398385787,544,0
be,1,4,0.689427631,545,0
getting,1,4,0.840937631,546,1
somewhere,1,4,1.126349631,547,0
near,1,4,1.542891631,548,0
the,1,4,1.772879631,549,0
center,1,4,1.844716631,550,1
of,1,4,2.251791631,551,0
the,1,4,2.347573631,552,0
earth,1,4,2.485197631,553,1
Let,1,4,3.125805631,554,1
me,1,4,3.353288631,555,0
see,1,4,3.473015631,556,1
that,1,4,3.808254631,557,0
would,1,4,3.990834631,558,0
be,1,4,4.155464631,559,0
four,1,4,4.632185631,560,1
thousand,1,4,5.077369631,561,1
miles,1,4,5.460498631,562,1
down,1,4,5.903492631,563,0
I,1,4,6.262675631,564,0
think,1,4,6.346485631,565,1
for,1,4,7.172607631,566,0
you,1,4,7.253283631,567,0
see,1,4,7.388559631,568,1
Alice,1,4,7.699410631,569,1
had,1,4,8.094512631,570,0
learnt,1,4,8.250158631,571,1
several,1,4,8.465668631,572,1
things,1,4,8.860771631,573,1
of,1,4,9.219954631,574,0
this,1,4,9.339682631,575,0
sort,1,4,9.567165631,576,1
in,1,4,9.794648631,577,0
her,1,4,9.926349631,578,0
lessons,1,4,10.08199563,579,1
in,1,4,10.51044763,580,0
the,1,4,10.60879863,581,0
school,1,4,10.72852663,582,1
room,1,4,11.11381763,583,1
and,1,4,11.74621363,584,0
though,1,4,11.95457563,585,0
this,1,4,12.06387963,586,0
was,1,4,12.28498863,587,0
not,1,4,12.44063463,588,0
a,1,4,12.64462563,589,0
very,1,4,12.75192763,590,1
good,1,4,13.24281163,591,1
opportunity,1,4,13.47324963,592,1
for,1,4,14.23655363,593,0
showing,1,4,14.41614563,594,1
off,1,4,14.85699863,595,0
her,1,4,15.11056663,596,0
knowledge,1,4,15.19437663,597,1
as,1,4,15.75709763,598,0
there,1,4,15.93668963,599,0
was,1,4,16.09233563,600,0
no,1,4,16.27192763,601,0
one,1,4,16.43954663,602,0
to,1,4,16.58322063,603,0
listen,1,4,16.77246763,604,1
to,1,4,17.08607763,605,0
her,1,4,17.28976663,606,0
still,1,4,18.00798163,607,0
it,1,4,18.31422063,608,0
was,1,4,18.42702963,609,0
good,1,4,18.61859463,610,1
practice,1,4,18.79818563,611,1
to,1,4,19.31301563,612,0
say,1,4,19.38505963,613,1
it,1,4,19.67375863,614,0
over,1,4,19.78522663,615,0
yes,1,4,20.63002263,616,0
that,1,4,21.12090763,617,0
s,1,4,21.36644463,618,0
about,1,4,21.43219963,619,0
the,1,4,21.71954663,620,0
right,1,4,21.81532863,621,0
distance,1,4,22.11464863,622,1
but,1,4,23.18022663,623,0
then,1,4,23.34784563,624,0
I,1,4,23.51076263,625,0
wonder,1,4,23.65036763,626,1
what,1,4,24.00634963,627,0
Latitude,1,4,24.17712863,628,1
or,1,4,24.82182563,629,0
Longitude,1,4,24.94022663,630,1
I,1,4,25.57799163,631,0
ve,1,4,25.70940763,632,0
got,1,4,25.77832263,633,1
to,1,4,26.11436663,634,0
Alice,1,4,27.16716563,635,1
had,1,4,27.59113663,636,0
no,1,4,28.00526063,637,0
,99,,,638,0
,99,,,639,1
idea,1,4,28.35477763,640,1
what,1,4,28.68770963,641,0
Latitude,1,4,28.84335663,642,1
was,1,4,29.40607763,643,0
or,1,4,30.17233563,644,0
Longitude,1,4,30.31600963,645,1
either,1,4,30.89070263,646,0
but,1,4,31.93233563,647,0
,99,,,648,0
thought,1,4,32.08798163,649,1
they,1,4,32.31546463,650,0
were,1,4,32.43519263,651,0
nice,1,4,32.55492063,652,1
grand,1,4,32.89015863,653,1
words,1,4,33.27328863,654,1
to,1,4,33.70494363,655,0
say,1,4,33.81316563,656,1
Presently,1,4,35.16498863,657,1
she,1,4,35.61995463,658,0
began,1,4,35.85941063,659,1
again,1,4,36.26648563,660,1
I,1,4,37.59546463,661,0
wonder,1,4,37.73208963,662,1
if,1,4,38.12817963,663,0
I,1,4,38.24181263,664,0
shall,1,4,38.40054563,665,0
fall,1,4,38.79274363,666,1
right,1,4,39.11600963,667,1
through,1,4,39.35546463,668,1
the,1,4,39.88226763,669,0
earth,1,4,40.07216363,670,1
How,1,4,41.04362863,671,0
funny,1,4,41.40281163,672,1
it,1,4,41.69015863,673,0
ll,1,4,41.80957263,674,0
seem,1,4,41.92961463,675,1
to,1,4,42.24090763,676,0
come,1,4,42.33668963,677,1
out,1,4,42.57203263,678,0
among,1,4,42.72981063,679,1
the,1,4,43.04308363,680,0
people,1,4,43.15083963,681,1
that,1,4,43.66566863,682,0
walk,1,4,43.83328863,683,1
with,1,4,44.10866263,684,0
their,1,4,44.25233563,685,0
heads,1,4,44.41995463,686,1
downward,1,4,44.81505663,687,1
The,1,4,46.10811763,688,0
Antipathies,1,4,46.25192363,689,1
I,1,4,47.24553263,690,0
think,1,4,47.56879863,691,1
she,1,4,48.95285963,692,0
was,1,4,49.10869863,693,0
rather,1,4,49.35274363,694,1
