praatword,parsedword,k_10distance,k_10surprisal,k_10entropy,k_10Hdelta,k_20distance,k_20surprisal,k_20entropy,k_20Hdelta,k_40distance,k_40surprisal,k_40entropy,k_40Hdelta,k_60distance,k_60surprisal,k_60entropy,k_60Hdelta,k_80distance,k_80surprisal,k_80entropy,k_80Hdelta,k_100distance,k_100surprisal,k_100entropy,k_100Hdelta
up,up,12,2.580126,2.374077,-0.056207,12,2.529433,2.963944,-0.00982,12,2.503651,3.508614,0.036074,17,2.498642,3.876094,0.050571,17,2.497656,4.092642,0.057741,17,2.493164,4.245734,0.060767
but,but,13,3.685686,2.418167,0.04409,13,3.743924,2.963158,-0.000786,13,3.740484,3.325928,-0.182686,13,3.724747,3.668456,-0.207638,13,3.723192,3.88687,-0.205772,15,3.725134,4.059385,-0.186349
it,it,9,2.511463,2.393327,-0.02484,9,2.511985,2.897883,-0.065275,9,2.511498,3.292325,-0.033603,9,2.504764,3.638914,-0.029542,9,2.503835,3.856661,-0.030209,9,2.502872,4.020731,-0.038654
was,was,10,1.620905,2.191847,-0.20148,10,1.618506,2.732739,-0.165144,10,1.602337,3.186224,-0.106101,10,1.59935,3.532499,-0.106415,10,1.599964,3.756045,-0.100616,10,1.599185,3.923497,-0.097234
all,all,9,4.273421,3.06577,0.873923,9,4.216561,3.585401,0.852662,9,4.123064,4.074461,0.888237,9,4.096722,4.427905,0.895406,9,4.088678,4.672175,0.91613,9,4.083471,4.847603,0.924106
dark,<UNK>,4,3.170403,3.04334,-0.02243,5,3.136242,3.554211,-0.03119,5,3.112472,4.104903,0.030442,5,3.099063,4.473346,0.045441,5,3.076089,4.717486,0.045311,5,3.073034,4.890449,0.042846
overhead,<UNK>,9,4.543661,2.998827,-0.044513,9,4.565537,3.571335,0.017124,9,4.380843,4.279747,0.174844,9,4.335135,4.744029,0.270683,9,4.286344,5.025011,0.307525,9,4.274303,5.168223,0.277774
before,before,13,5.758086,2.660319,-0.338508,13,5.707312,3.485513,-0.085822,14,5.782524,3.962547,-0.3172,14,5.818314,4.375334,-0.368695,14,5.839604,4.566964,-0.458047,14,5.820283,4.776193,-0.39203
her,her,12,4.643327,2.340812,-0.319507,13,4.575096,3.023345,-0.462168,13,4.509738,3.697033,-0.265514,13,4.553834,4.067784,-0.30755,13,4.534357,4.31534,-0.251624,13,4.53526,4.496924,-0.279269
was,was,13,4.401044,1.965297,-0.375515,15,4.431155,2.722438,-0.300907,15,4.544367,3.362317,-0.334716,15,4.506955,3.783131,-0.284653,15,4.546242,4.014422,-0.300918,15,4.542095,4.227412,-0.269512
another,another,15,8.590932,1.453577,-0.51172,15,8.591257,1.66245,-1.05999,15,8.445023,2.43321,-0.929107,15,8.463058,2.780422,-1.00271,15,8.414838,3.14624,-0.868182,15,8.386355,3.415007,-0.812405
long,long,16,4.725238,1.640231,0.186654,16,4.783394,1.868749,0.206299,16,4.797256,2.638823,0.205613,17,4.799013,2.993776,0.213354,17,4.785772,3.370758,0.224518,17,4.77008,3.65284,0.237833
passage,<UNK>,10,2.40754,1.960495,0.320264,10,2.420496,2.227232,0.358483,10,2.429063,2.989966,0.351143,10,2.428026,3.351341,0.357565,10,2.423819,3.725987,0.355229,10,2.413085,4.031773,0.378933
and,and,15,2.106441,2.047888,0.087393,15,2.038668,2.423197,0.195965,14,1.991531,3.201192,0.211226,15,1.994044,3.561297,0.209956,15,2.004811,3.881028,0.155041,15,2.01994,4.159915,0.128142
the,the,6,2.24197,2.512646,0.464758,7,2.437944,2.934901,0.511704,7,2.491074,3.679152,0.47796,7,2.512881,4.073529,0.512232,7,2.434618,4.426534,0.545506,7,2.426153,4.688912,0.528997
white,white,17,3.962319,2.050918,-0.461728,17,3.909985,2.559602,-0.375299,17,3.864937,3.268534,-0.410618,18,3.870192,3.643269,-0.43026,18,3.867925,3.920255,-0.506279,18,3.870638,4.121561,-0.567351
rabbit,rabbit,16,0.208627,1.972602,-0.078316,17,0.183064,2.513588,-0.046014,17,0.163892,3.209707,-0.058827,17,0.166878,3.580938,-0.062331,17,0.164871,3.835784,-0.084471,17,0.163341,4.029147,-0.092414
was,was,16,3.093247,0.960556,-1.01205,17,3.097366,1.702409,-0.811179,17,2.947009,2.391575,-0.818132,17,2.985837,2.717131,-0.863807,17,2.913105,2.885083,-0.950701,17,2.874472,3.083002,-0.946145
still,still,11,5.78855,1.658335,0.697779,12,5.823593,2.284643,0.582234,12,5.811907,3.07939,0.687815,12,5.799865,3.429432,0.712301,15,5.799155,3.646268,0.761185,15,5.802875,3.858581,0.775579
in,in,12,3.547292,1.900383,0.242048,12,3.560573,2.477488,0.192845,12,3.591424,3.280727,0.201337,12,3.567415,3.680637,0.251205,12,3.607412,3.901617,0.255349,12,3.619998,4.102066,0.243485
sight,sight,13,4.965436,2.136878,0.236495,13,4.965267,2.700149,0.222661,13,4.980065,3.497309,0.216582,13,4.98056,3.895283,0.214646,13,4.9693,4.134829,0.233212,13,4.959874,4.343934,0.241868
hurrying,<UNK>,9,4.918993,3.883948,1.74707,9,4.783604,4.275642,1.57549,9,4.86515,5.017261,1.51995,10,4.803177,5.371458,1.47617,10,4.867893,5.690137,1.55531,10,4.907164,5.925088,1.58115
down,down,13,4.353114,2.135802,-1.74815,14,4.403178,2.610559,-1.66508,14,4.424725,3.461162,-1.5561,14,4.412154,3.842712,-1.52875,14,4.479209,4.047769,-1.64237,14,4.495147,4.266158,-1.65893
it,it,10,3.978159,2.704108,0.568306,11,3.99042,3.222921,0.612362,11,4.009629,4.038432,0.57727,11,4.012375,4.42355,0.580838,11,4.012158,4.660425,0.612656,11,4.01952,4.870445,0.604287
there,there,9,4.476592,1.049786,-1.65432,9,4.471094,1.072499,-2.15042,9,4.467518,1.09748,-2.94095,9,4.466264,1.103786,-3.31976,9,4.465765,1.107569,-3.55286,9,4.465475,1.109383,-3.76106
was,was,11,1.696273,1.028347,-0.021439,11,1.698899,1.047862,-0.024637,11,1.700511,1.064328,-0.033152,12,1.701137,1.070051,-0.033735,12,1.701377,1.072669,-0.0349,12,1.701474,1.074743,-0.03464
not,not,11,3.661904,1.379619,0.351272,11,3.642426,1.46402,0.416158,11,3.632549,1.502704,0.438376,11,3.629622,1.517207,0.447156,11,3.628343,1.52446,0.451791,11,3.62751,1.529492,0.454749
a,a,6,1.975793,2.095867,0.716248,6,1.927533,2.210767,0.746747,7,1.914375,2.279991,0.777287,7,1.909317,2.304964,0.787757,7,1.906733,2.316572,0.792112,7,1.905118,2.324747,0.795255
moment,moment,13,8.237952,1.778446,-0.317421,13,8.236763,2.053061,-0.157706,13,8.21806,2.257905,-0.022086,13,8.203913,2.369363,0.064399,14,8.200647,2.414996,0.098424,14,8.19946,2.440244,0.115497
to,to,12,2.871278,1.948365,0.169919,12,2.873589,2.182583,0.129522,12,2.862032,2.375507,0.117602,13,2.842626,2.529518,0.160155,13,2.83236,2.590062,0.175066,13,2.828173,2.637954,0.19771
be,be,13,2.544169,1.253571,-0.694794,13,2.557577,1.491607,-0.690976,13,2.571451,1.698473,-0.677034,13,2.555479,1.908252,-0.621266,15,2.551962,2.003076,-0.586986,15,2.551791,2.05553,-0.582424
lost,lost,15,5.870153,1.182169,-0.071402,15,5.846761,1.502393,0.010786,15,5.844046,1.706547,0.008074,17,5.850984,1.890897,-0.017355,17,5.849044,1.997224,-0.005852,17,5.853778,2.017612,-0.037918
away,away,17,7.81433,0.786468,-0.395701,17,7.725401,1.252477,-0.249916,17,7.631776,1.720813,0.014266,17,7.620963,1.941029,0.050132,18,7.608297,2.099608,0.102384,18,7.593543,2.186778,0.169166
went,went,17,10.572611,1.894356,1.10789,17,10.361555,2.445365,1.19289,18,10.290557,2.9314,1.21059,18,10.227461,3.238363,1.29733,18,10.19166,3.435788,1.33618,18,10.15463,3.595773,1.40899
alice,alice,10,6.304747,3.008473,1.11412,11,6.271972,3.602294,1.15693,11,6.192265,4.140799,1.2094,11,6.161724,4.427207,1.18884,11,6.128669,4.603981,1.16819,11,6.124262,4.766685,1.17091
like,like,14,6.668288,1.781077,-1.2274,14,6.564371,2.214577,-1.38772,15,6.535699,2.877465,-1.26333,15,6.596659,3.099466,-1.32774,15,6.53097,3.473241,-1.13074,15,6.518823,3.648776,-1.11791
the,the,7,1.435161,2.498096,0.717019,7,1.431358,2.972143,0.757566,7,1.454426,3.607829,0.730364,7,1.448518,3.814127,0.714661,8,1.438215,4.191954,0.718713,8,1.433833,4.368566,0.71979
wind,<UNK>,9,2.354625,2.194676,-0.30342,9,2.326913,2.788615,-0.183528,10,2.343641,3.374811,-0.233018,10,2.338309,3.649171,-0.164956,10,2.37081,3.944905,-0.247049,10,2.370482,4.131347,-0.237219
and,and,14,3.43155,2.771036,0.57636,14,3.505516,3.418024,0.629409,14,3.057047,3.816303,0.441492,14,3.041117,4.07679,0.427619,15,2.936049,4.444836,0.499931,15,2.901589,4.62751,0.496163
was,was,14,5.135825,1.356096,-1.41494,14,4.886559,2.114608,-1.30342,15,3.624043,1.706602,-2.1097,15,3.727959,1.796,-2.28079,15,3.607933,2.369433,-2.0754,16,3.62004,2.512565,-2.11495
just,just,10,5.634577,2.07222,0.716124,10,5.763249,2.741897,0.627289,12,5.541171,2.537851,0.831249,12,5.515131,2.747474,0.951474,12,5.525402,3.268515,0.899082,12,5.523959,3.422527,0.909962
in,in,11,5.323398,2.135877,0.063657,11,5.07555,2.800107,0.05821,13,5.098682,2.871503,0.333652,13,5.095992,3.049069,0.301595,13,5.132673,3.578776,0.310261,13,5.119127,3.757661,0.335134
time,time,12,6.269672,2.389173,0.253296,12,6.159194,3.029955,0.229848,15,6.142368,3.109471,0.237968,15,6.131974,3.30076,0.251691,15,6.167681,3.838426,0.25965,15,6.16091,4.004532,0.246871
to,to,13,3.340693,2.952931,0.563758,13,3.214839,3.633724,0.603769,14,3.310592,3.953928,0.844457,14,3.264562,4.130049,0.829289,14,3.289256,4.596141,0.757715,14,3.277856,4.784602,0.78007
hear,hear,12,5.019443,1.668786,-1.28414,12,4.990367,2.479702,-1.15402,14,4.92803,2.716751,-1.23718,14,4.953011,2.952469,-1.17758,14,4.942278,3.363801,-1.23234,14,4.945065,3.551415,-1.23319
it,it,9,1.944882,2.019696,0.35091,9,1.942116,2.817031,0.337329,10,1.945832,3.062349,0.345598,10,1.937705,3.301447,0.348978,10,1.942306,3.711947,0.348146,10,1.94043,3.899948,0.348533
say,say,14,10.88849,1.181064,-0.838632,14,11.175226,1.957359,-0.859672,18,10.203779,2.585083,-0.477266,18,10.160118,2.922016,-0.379431,18,10.172,3.302131,-0.409816,18,10.149689,3.539506,-0.360442
as,as,13,3.775538,2.582931,1.40187,13,3.77258,3.329452,1.37209,13,3.865133,3.942534,1.35745,13,3.85384,4.259286,1.33727,13,3.873313,4.619774,1.31764,13,3.867951,4.849101,1.3096
it,it,11,2.020699,1.868508,-0.714423,11,2.008448,2.632082,-0.69737,12,2.050971,3.144438,-0.798096,12,2.051569,3.508754,-0.750532,12,2.048899,3.869357,-0.750417,12,2.04446,4.114329,-0.734772
turned,turned,17,6.052177,2.10759,0.239082,17,6.056023,2.845776,0.213694,19,6.042133,3.39669,0.252252,19,6.046546,3.767872,0.259118,19,6.056779,4.128289,0.258932,19,6.06114,4.365617,0.251288
a,a,14,3.968345,3.036107,0.928517,13,3.98437,3.786483,0.940707,15,3.931134,4.354932,0.958242,15,3.924612,4.694046,0.926174,14,3.936446,5.02693,0.898641,14,3.938597,5.26193,0.896313
corner,corner,20,13.222459,1.141045,-1.89506,20,13.526273,1.498462,-2.28802,22,13.238902,2.450467,-1.90446,23,13.252283,2.690521,-2.00353,23,13.314798,2.936876,-2.09005,23,13.302358,3.203986,-2.05794
oh,oh,19,6.854422,2.071408,0.930363,13,6.843739,2.305629,0.807167,21,6.774648,3.531646,1.08118,21,6.791929,3.81547,1.12495,21,6.80135,4.015255,1.07838,21,6.830956,4.190094,0.986108
my,my,14,5.455655,1.769664,-0.301744,14,5.47437,2.10796,-0.197669,14,5.453643,3.138734,-0.392912,21,5.471725,3.425842,-0.389628,22,5.473648,3.662066,-0.353189,22,5.470618,3.871104,-0.31899
ears,ears,11,7.84682,1.660146,-0.109518,11,7.868828,2.11085,0.00289,11,7.822993,3.068407,-0.070327,11,7.813682,3.333984,-0.091858,11,7.798908,3.596855,-0.065211,11,7.812703,3.787741,-0.083363
and,and,11,3.423678,2.103953,0.443807,11,3.350021,2.779044,0.668194,11,3.383417,3.51127,0.442863,11,3.384195,3.737603,0.403619,11,3.395078,3.966606,0.369751,11,3.401205,4.18305,0.395309
whiskers,whiskers,11,4.999673,1.313176,-0.790777,11,5.056688,1.935524,-0.84352,11,5.021828,2.766891,-0.744379,11,5.044923,2.950175,-0.787428,11,5.083344,3.139378,-0.827228,11,5.07871,3.356652,-0.826398
how,how,11,5.058148,1.393925,0.080749,11,5.102422,1.963197,0.027673,11,5.127291,2.794833,0.027942,11,5.133424,3.008521,0.058346,11,5.139824,3.182988,0.04361,11,5.133153,3.423942,0.06729
late,late,10,8.94589,1.758899,0.364974,10,8.897242,2.405547,0.44235,10,8.919605,3.228259,0.433426,10,8.884601,3.472974,0.464453,10,8.889825,3.645736,0.462748,10,8.894501,3.872245,0.448303
it,it,9,2.03439,2.233157,0.474258,9,2.073018,2.858973,0.453426,9,2.04048,3.719693,0.491434,9,2.039498,3.971331,0.498357,9,2.032883,4.133119,0.487383,9,2.036632,4.35842,0.486175
's,'s,10,2.317933,1.951432,-0.281725,10,2.338295,2.422717,-0.436256,10,2.354108,3.361051,-0.358642,10,2.366611,3.608253,-0.363078,10,2.35495,3.833695,-0.299424,10,2.355077,4.04688,-0.31154
getting,getting,13,4.39107,1.974326,0.022894,13,4.394424,2.432992,0.010275,13,4.40085,3.371129,0.010078,13,4.402282,3.619299,0.011046,13,4.404624,3.836226,0.002531,13,4.404569,4.045069,-0.001811
she,she,9,3.54883,0.936411,-1.03791,9,3.543268,0.968648,-1.46434,9,3.540295,0.980348,-2.39078,9,3.539265,0.983497,-2.6358,9,3.538815,0.984976,-2.85125,9,3.538568,0.986161,-3.05891
was,was,11,2.853779,1.311638,0.375227,11,2.85256,1.340365,0.371717,11,2.851852,1.363531,0.383183,11,2.851403,1.373791,0.390294,12,2.851208,1.378287,0.393311,12,2.851101,1.381404,0.395243
close,close,11,7.375437,0.950943,-0.360695,12,7.147819,1.556862,0.216497,12,7.009248,2.061685,0.698154,12,6.974449,2.239068,0.865277,13,6.960336,2.318617,0.94033,13,6.953031,2.365308,0.983904
behind,behind,12,5.775742,1.316783,0.36584,12,5.816126,1.873303,0.316441,12,5.858676,2.247097,0.185412,12,5.864841,2.393011,0.153943,12,5.866642,2.462445,0.143828,12,5.865053,2.515536,0.150228
it,it,10,1.992793,1.351034,0.034251,10,2.018624,1.879287,0.005984,10,2.041289,2.195002,-0.052095,10,2.045236,2.326548,-0.066463,10,2.044975,2.394411,-0.068034,10,2.047569,2.435581,-0.079955
when,when,14,4.120275,1.934562,0.583528,14,4.17868,2.272573,0.393286,15,4.177052,2.577291,0.382289,15,4.175462,2.690159,0.363611,14,4.172632,2.763593,0.369182,14,4.169391,2.811634,0.376053
she,she,10,1.043471,1.696578,-0.237984,10,1.02994,2.085769,-0.186804,10,1.033579,2.402921,-0.17437,10,1.034611,2.533453,-0.156706,10,1.034236,2.62191,-0.141683,10,1.034675,2.678668,-0.132966
turned,turned,14,5.69495,2.199496,0.502918,14,5.697605,2.578937,0.493168,14,5.694113,2.916516,0.513595,14,5.682433,3.069575,0.536122,15,5.675723,3.163814,0.541904,16,5.668761,3.22442,0.545752
the,the,8,3.547289,3.307862,1.10837,8,3.456681,3.656372,1.07744,9,3.374062,4.024839,1.10832,9,3.341151,4.203259,1.13368,9,3.320517,4.323107,1.15929,9,3.306869,4.409013,1.18459
corner,corner,16,10.242975,1.939873,-1.36799,16,10.262461,2.394597,-1.26178,17,10.21977,2.940471,-1.08437,17,10.207995,3.17288,-1.03038,17,10.209124,3.30891,-1.0142,17,10.203073,3.438862,-0.970151
but,but,15,5.085767,2.309072,0.369199,15,5.075063,2.756468,0.361871,15,5.134258,3.097712,0.157241,16,5.159232,3.254226,0.081346,16,5.165874,3.387322,0.078412,16,5.161022,3.544834,0.105972
the,the,6,2.379172,2.684197,0.375125,6,2.307267,3.020426,0.263958,6,2.297261,3.480112,0.3824,6,2.26938,3.685618,0.431392,6,2.255827,3.848743,0.461421,6,2.255622,3.969081,0.424247
rabbit,rabbit,14,3.860247,1.699998,-0.984199,15,3.924877,2.17266,-0.847766,16,3.973539,2.566421,-0.913691,17,3.981241,2.835194,-0.850424,17,3.986777,3.010099,-0.838644,17,3.986709,3.160225,-0.808856
was,was,14,1.981183,1.788296,0.088298,15,2.003045,2.09367,-0.07899,16,2.003857,2.484695,-0.081726,16,2.010085,2.732308,-0.102886,16,2.011448,2.907348,-0.102751,16,2.012033,3.059104,-0.101121
no,no,10,5.160655,2.398884,0.610588,10,5.056915,2.911834,0.818164,10,5.023076,3.287346,0.802651,11,5.014922,3.613073,0.880765,13,5.006593,3.793661,0.886313,13,4.999346,3.941097,0.881993
longer,longer,13,9.847329,0.04889,-2.34999,14,10.10472,0.216823,-2.69501,14,9.689294,1.343118,-1.94423,15,9.608494,1.764448,-1.84862,15,9.544314,1.95938,-1.83428,15,9.523452,2.125655,-1.81544
to,to,13,2.228,0.698299,0.649409,13,2.25211,0.761319,0.544496,13,2.204566,2.013957,0.670839,13,2.220086,2.408725,0.644277,13,2.241134,2.56345,0.60407,13,2.235228,2.740407,0.614752
be,be,13,4.088041,0.210916,-0.487383,15,4.086281,0.287808,-0.473511,13,3.972111,1.619638,-0.394319,13,3.988891,1.987399,-0.421326,15,4.020701,2.126993,-0.436457,15,4.018295,2.30482,-0.435587
seen,seen,15,5.654581,0.166667,-0.044249,16,5.645963,0.297378,0.00957,16,5.622571,1.638171,0.018533,16,5.626373,1.993079,0.00568,16,5.633301,2.1233,-0.003693,16,5.634844,2.295814,-0.009006
she,she,13,4.971974,2.107431,1.94076,13,4.941353,2.292223,1.99484,13,5.076434,3.540227,1.90206,13,5.061971,3.94559,1.95251,13,5.072326,4.084644,1.96134,13,5.060178,4.267491,1.97168
found,found,18,4.421677,1.990382,-0.117049,18,4.388232,2.197808,-0.094415,18,4.429926,3.265157,-0.27507,18,4.437327,3.632029,-0.313561,18,4.431084,3.79456,-0.290084,18,4.429926,3.990705,-0.276786
herself,herself,18,3.492463,2.403977,0.413595,18,3.454801,2.699527,0.501719,18,3.5425,3.635613,0.370456,18,3.53679,3.989259,0.35723,19,3.528978,4.16713,0.37257,19,3.529053,4.376321,0.385616
in,in,19,3.110438,1.746744,-0.657233,19,3.122962,2.156859,-0.542668,19,3.123659,2.996543,-0.63907,19,3.112591,3.374911,-0.614348,19,3.120603,3.551443,-0.615687,19,3.12267,3.740416,-0.635905
a,a,7,1.057868,2.156001,0.409257,8,1.050611,2.509928,0.353069,8,1.073371,3.406726,0.410183,7,1.075606,3.79013,0.415219,7,1.07246,3.951883,0.40044,7,1.067152,4.152441,0.412025
long,long,20,5.077738,2.070313,-0.085688,20,5.037144,2.512506,0.002578,20,5.041595,3.3078,-0.098926,20,5.043152,3.671974,-0.118156,21,5.035144,3.860245,-0.091638,21,5.036744,4.069028,-0.083413
low,low,20,5.12919,2.070475,0.000162,20,5.166135,2.449477,-0.063029,20,5.169823,3.263607,-0.044193,20,5.18395,3.599516,-0.072458,20,5.164179,3.823754,-0.036491,21,5.165442,4.030005,-0.039023
hall,hall,20,6.369534,1.910465,-0.16001,20,6.320251,2.380854,-0.068623,20,6.315825,3.167815,-0.095792,20,6.312013,3.512084,-0.087432,20,6.329828,3.699268,-0.124486,21,6.32903,3.908531,-0.121474
which,which,20,5.993052,1.621151,-0.289314,20,6.015829,2.010916,-0.369938,20,6.00238,2.836733,-0.331082,20,6.03846,3.129588,-0.382496,20,5.988733,3.444792,-0.254476,21,5.979618,3.669923,-0.238608
was,was,10,1.341638,1.359114,-0.262037,10,1.357259,1.726172,-0.284744,10,1.3545,2.600727,-0.236006,10,1.37213,2.828214,-0.301374,10,1.370495,3.146534,-0.298258,14,1.370007,3.37386,-0.296063
lit,<UNK>,5,2.808677,2.240597,0.881483,5,2.784858,2.612069,0.885897,5,2.801994,3.471719,0.870992,5,2.792028,3.694034,0.86582,5,2.797759,4.009913,0.863379,5,2.798617,4.237812,0.863952
up,up,18,4.349534,1.132683,-1.10791,18,4.343998,1.612531,-0.999538,24,4.334686,2.465581,-1.00614,24,4.349603,2.666595,-1.02744,24,4.349294,2.958727,-1.05119,24,4.344626,3.199958,-1.03785
by,by,19,3.987172,1.247828,0.115145,19,4.000128,1.68192,0.069389,25,3.995703,2.555167,0.089586,25,3.996649,2.754887,0.088292,25,3.99531,3.054968,0.096241,25,3.994775,3.296991,0.097033
a,a,7,2.155204,2.002408,0.75458,8,2.15299,2.42851,0.74659,8,2.167985,3.292041,0.736874,8,2.152921,3.49738,0.742493,8,2.153866,3.795732,0.740764,8,2.15718,4.039846,0.742855
row,<UNK>,6,1.809282,1.95459,-0.047818,6,1.801228,2.379197,-0.049313,6,1.804815,3.202705,-0.089336,6,1.802809,3.446275,-0.051105,6,1.803832,3.742661,-0.053071,6,1.803952,3.975031,-0.064815
of,of,20,1.618447,1.229532,-0.725058,20,1.647265,1.570315,-0.808882,26,1.658621,2.340183,-0.862522,26,1.649126,2.631589,-0.814686,26,1.645272,2.941757,-0.800904,26,1.643886,3.176567,-0.798464
lamps,<UNK>,5,2.891,1.93885,0.709318,5,2.874351,2.288105,0.71779,5,2.875582,3.056672,0.716489,5,2.878753,3.343288,0.711699,5,2.883399,3.650347,0.70859,5,2.883979,3.88626,0.709693
hanging,hanging,22,11.513913,1.444201,-0.494649,23,11.300548,2.04084,-0.247265,28,11.417302,2.701406,-0.355266,29,11.328696,3.066569,-0.276719,29,11.318643,3.335286,-0.315061,29,11.33745,3.540646,-0.345614
from,from,22,5.323906,1.059603,-0.384598,22,5.336344,1.599109,-0.441731,22,5.323457,2.307801,-0.393605,24,5.332904,2.626622,-0.439947,24,5.345093,2.856414,-0.478872,24,5.344091,3.082284,-0.458362
the,the,7,1.535618,1.728894,0.669291,7,1.535567,2.276848,0.677739,7,1.53953,2.988759,0.680958,7,1.538132,3.298448,0.671826,7,1.536679,3.530682,0.674268,7,1.54065,3.752999,0.670715
roof,roof,25,5.84149,1.64631,-0.082584,26,5.844371,2.226407,-0.050441,26,5.834627,2.909941,-0.078818,26,5.843899,3.227181,-0.071267,27,5.846519,3.463225,-0.067457,27,5.847064,3.660321,-0.092678
there,there,9,4.476592,1.049786,-0.596524,9,4.471094,1.072499,-1.15391,9,4.467518,1.09748,-1.81246,9,4.466264,1.103786,-2.12339,9,4.465765,1.107569,-2.35566,9,4.465475,1.109383,-2.55094
were,were,11,4.518172,1.189535,0.139749,11,4.518735,1.215398,0.142899,11,4.519502,1.236663,0.139183,12,4.519435,1.247995,0.144209,12,4.519332,1.253471,0.145902,12,4.519291,1.256597,0.147214
doors,<UNK>,6,4.435596,2.765544,1.57601,6,4.29016,2.899249,1.68385,6,4.245626,2.967901,1.73124,6,4.22864,3.00276,1.75476,6,4.220568,3.027931,1.77446,6,4.215799,3.041143,1.78455
all,all,10,5.829455,2.889554,0.12401,10,5.70805,3.425165,0.525916,11,5.567735,3.804756,0.836855,11,5.506405,3.97384,0.97108,11,5.469058,4.097419,1.06949,11,5.44142,4.155493,1.11435
round,round,13,4.552735,2.081694,-0.80786,13,4.362295,2.713513,-0.711652,14,4.368195,3.201984,-0.602772,14,4.365361,3.435378,-0.538462,14,4.33944,3.646331,-0.451088,14,4.33365,3.766359,-0.389134
the,the,8,3.061074,2.981832,0.900138,9,2.962348,3.683695,0.970182,8,2.865291,4.210866,1.00888,8,2.832682,4.473671,1.03829,8,2.832881,4.675313,1.02898,8,2.816992,4.818069,1.05171
hall,hall,14,9.956369,1.903153,-1.07868,16,9.447363,2.288944,-1.39475,17,8.997028,3.105079,-1.10579,17,8.759295,3.470803,-1.00287,17,8.718771,3.671828,-1.00348,17,8.643927,3.799546,-1.01852
but,but,14,4.022883,1.464826,-0.438327,16,3.823586,2.190274,-0.09867,16,3.898708,2.893696,-0.211383,17,3.857148,3.451809,-0.018994,17,3.782539,3.688536,0.016708,17,3.793248,3.890192,0.090646
they,they,9,3.459211,1.291117,-0.173709,9,3.441369,2.245335,0.055061,9,3.43243,2.921412,0.027716,9,3.509361,3.377764,-0.074045,9,3.488503,3.661449,-0.027087,9,3.533545,3.846844,-0.043348
were,were,10,2.646803,1.244317,-0.0468,10,2.598274,2.182086,-0.063249,10,2.589486,2.797823,-0.123589,10,2.584957,3.239487,-0.138277,10,2.577814,3.529542,-0.131907,10,2.575891,3.708458,-0.138386
all,all,9,3.853748,1.912884,0.668567,11,3.799051,2.787914,0.605828,10,3.796715,3.421788,0.623965,11,3.803818,3.850744,0.611257,11,3.797791,4.137127,0.607585,11,3.797658,4.317794,0.609336
locked,<UNK>,7,3.076816,2.433003,0.520119,7,3.094057,3.327117,0.539203,6,3.083616,3.901574,0.479786,6,3.086788,4.319784,0.46904,6,3.076897,4.61149,0.474363,6,3.075758,4.797675,0.479881
and,and,12,2.543699,2.074103,-0.3589,14,2.424748,2.90448,-0.422637,13,2.394562,3.433865,-0.467709,15,2.360007,3.847507,-0.472277,15,2.355058,4.139397,-0.472093,15,2.342853,4.325343,-0.472332
when,when,13,5.101668,1.957485,-0.116618,12,5.114762,2.882097,-0.022383,13,5.104297,3.388807,-0.045058,13,5.103687,3.792608,-0.054899,13,5.098715,4.079465,-0.059932,13,5.099152,4.283641,-0.041702
alice,alice,9,4.55927,2.184814,0.227329,8,4.5609,2.945352,0.063255,8,4.550272,3.51046,0.121653,8,4.548389,3.924179,0.131571,8,4.551007,4.221467,0.142002,8,4.548027,4.420243,0.136602
had,had,10,2.12763,1.853323,-0.331491,10,2.126063,2.629526,-0.315826,10,2.130417,3.196225,-0.314235,10,2.134447,3.601643,-0.322536,10,2.134137,3.889514,-0.331953,10,2.134261,4.095922,-0.324321
been,been,13,2.783278,1.87853,0.025207,13,2.811333,2.653643,0.024117,13,2.818444,3.227739,0.031514,13,2.821973,3.631128,0.029485,13,2.825076,3.91967,0.030156,13,2.825819,4.123927,0.028005
all,all,11,5.13326,2.790625,0.912095,11,5.165303,3.599257,0.945614,11,5.132622,4.200954,0.973215,11,5.133405,4.593371,0.962243,11,5.130174,4.874991,0.955321,11,5.128225,5.105816,0.981889
the,the,9,2.271316,2.289243,-0.501382,9,2.249938,3.046798,-0.552459,9,2.280932,3.594223,-0.606731,9,2.279912,3.982766,-0.610605,9,2.28136,4.275483,-0.599508,9,2.30343,4.445593,-0.660223
way,way,16,4.578648,1.76577,-0.523473,16,4.585772,2.534515,-0.512283,16,4.593404,3.050355,-0.543868,16,4.590119,3.447169,-0.535597,16,4.593873,3.733404,-0.542079,16,4.593769,3.887942,-0.557651
down,down,15,3.797871,1.282781,-0.482989,15,3.766675,2.068368,-0.466147,15,3.743766,2.654139,-0.396216,15,3.773969,3.002214,-0.444955,15,3.758182,3.32187,-0.411534,15,3.772948,3.447577,-0.440365
one,one,14,6.9722,2.958776,1.67599,14,7.079038,3.683819,1.61545,14,6.970513,4.259079,1.60494,14,6.926025,4.744473,1.74226,14,6.930217,5.05063,1.72876,14,6.87789,5.246327,1.79875
side,side,16,5.026372,2.167227,-0.791549,17,5.049347,2.832077,-0.851742,17,5.032159,3.432458,-0.826621,17,5.03299,3.872116,-0.872357,17,5.024967,4.189507,-0.861123,17,5.003589,4.390832,-0.855495
